[0.000425] INIT: Logger started :)
[0.000774] EVENT: Parameters parsed for blob detector
[0.000942] EVENT: Parameters parsed for math config
[0.001055] EVENT: Parameters parsed for color detection
[0.001138] EVENT: Parameters parsed for system config
[0.212530] EVENT: Camera Initialized Successfully
[1.406334] EVENT: Serial port /dev/serial0 opened
[1.406701] EVENT: Starting Flight controller loop
[1.407742] EVENT: IMU serial port /dev/ttyACM0 opened
[1.408019] EVENT: IMU sensor data loop started
[2.877329] EVENT: Tracking loop started
[3.455328] DEBUG: Frame 0 process time: 0.577828s
[3.593031] DEBUG: Frame 1 process time: 0.079084s
[3.725038] DEBUG: Frame 2 process time: 0.078463s
[3.891020] DEBUG: Frame 3 process time: 0.077751s
[4.057216] DEBUG: Frame 4 process time: 0.079215s
[4.316822] DEBUG: Frame 5 process time: 0.078885s
[4.685322] DEBUG: Frame 6 process time: 0.079685s
[4.844580] DEBUG: Frame 7 process time: 0.078910s
[8.600189] DEBUG: Frame 8 process time: 0.086625s
[8.847389] DEBUG: Frame 9 process time: 0.079637s
[9.015704] DEBUG: Frame 10 process time: 0.102994s
[9.153642] DEBUG: Frame 11 process time: 0.107521s
[9.291228] DEBUG: Frame 12 process time: 0.106822s
[9.451627] DEBUG: Frame 13 process time: 0.130164s
[9.909809] DEBUG: Frame 14 process time: 0.105642s
[10.040043] DEBUG: Frame 15 process time: 0.099306s
[10.942480] DEBUG: Frame 16 process time: 0.078129s
[11.079327] DEBUG: Frame 17 process time: 0.086592s
[11.208156] DEBUG: Frame 18 process time: 0.083090s
[11.338669] DEBUG: Frame 19 process time: 0.081588s
[11.470761] DEBUG: Frame 20 process time: 0.082422s
[11.617189] DEBUG: Frame 21 process time: 0.084113s
[11.739827] DEBUG: Frame 22 process time: 0.079762s
[11.870793] DEBUG: Frame 23 process time: 0.078495s
[12.073772] DEBUG: Frame 24 process time: 0.081002s
[12.240712] DEBUG: Frame 25 process time: 0.084598s
[12.399539] DEBUG: Frame 26 process time: 0.078839s
[12.523507] DEBUG: Frame 27 process time: 0.078371s
[12.648229] DEBUG: Frame 28 process time: 0.077376s
[12.779476] DEBUG: Frame 29 process time: 0.077809s
[12.905854] DEBUG: Frame 30 process time: 0.080297s
[13.032907] DEBUG: Frame 31 process time: 0.079834s
[13.171474] DEBUG: Frame 32 process time: 0.078618s
[13.294893] DEBUG: Frame 33 process time: 0.077519s
[13.438843] DEBUG: Frame 34 process time: 0.077489s
[13.558959] DEBUG: Frame 35 process time: 0.081674s
[13.683243] DEBUG: Frame 36 process time: 0.078150s
[13.812014] DEBUG: Frame 37 process time: 0.078787s
[13.942611] DEBUG: Frame 38 process time: 0.077469s
[14.060799] DEBUG: Frame 39 process time: 0.079172s
[14.183211] DEBUG: Frame 40 process time: 0.077497s
[14.307548] DEBUG: Frame 41 process time: 0.077970s
[14.423656] DEBUG: Frame 42 process time: 0.077853s
[14.558649] DEBUG: Frame 43 process time: 0.080117s
[14.675072] DEBUG: Frame 44 process time: 0.077947s
[14.800266] DEBUG: Frame 45 process time: 0.077773s
[14.919594] DEBUG: Frame 46 process time: 0.077842s
[15.051656] DEBUG: Frame 47 process time: 0.081296s
[15.168085] DEBUG: Frame 48 process time: 0.078176s
[15.296233] DEBUG: Frame 49 process time: 0.078320s
[15.416229] DEBUG: Frame 50 process time: 0.078246s
[15.547987] DEBUG: Frame 51 process time: 0.082010s
[15.668438] DEBUG: Frame 52 process time: 0.078360s
[15.811989] DEBUG: Frame 53 process time: 0.078198s
[15.927856] DEBUG: Frame 54 process time: 0.077602s
[16.053544] DEBUG: Frame 55 process time: 0.078940s
[16.176452] DEBUG: Frame 56 process time: 0.078104s
[16.320281] DEBUG: Frame 57 process time: 0.078277s
[16.449317] DEBUG: Frame 58 process time: 0.078400s
[16.575741] DEBUG: Frame 59 process time: 0.081346s
[16.700262] DEBUG: Frame 60 process time: 0.078077s
[16.820868] DEBUG: Frame 61 process time: 0.079380s
[16.954325] DEBUG: Frame 62 process time: 0.078635s
[17.090675] DEBUG: Frame 63 process time: 0.079170s
[17.212610] DEBUG: Frame 64 process time: 0.078153s
[17.340343] DEBUG: Frame 65 process time: 0.078223s
[17.453837] DEBUG: Frame 66 process time: 0.082901s
[17.570617] DEBUG: Frame 67 process time: 0.086555s
[17.685739] DEBUG: Frame 68 process time: 0.084844s
[17.794331] DEBUG: Frame 69 process time: 0.078339s
[17.906277] DEBUG: Frame 70 process time: 0.081717s
[18.016406] DEBUG: Frame 71 process time: 0.079909s
[18.125117] DEBUG: Frame 72 process time: 0.078480s
[18.233129] DEBUG: Frame 73 process time: 0.077794s
[18.342025] DEBUG: Frame 74 process time: 0.078659s
[18.449784] DEBUG: Frame 75 process time: 0.077519s
[18.563613] DEBUG: Frame 76 process time: 0.083603s
[18.672177] DEBUG: Frame 77 process time: 0.078313s
[18.780212] DEBUG: Frame 78 process time: 0.077802s
[18.892649] DEBUG: Frame 79 process time: 0.082201s
[19.009646] DEBUG: Frame 80 process time: 0.086694s
[19.350108] DEBUG: Frame 81 process time: 0.078850s
[19.467356] DEBUG: Frame 82 process time: 0.086624s
[19.582193] DEBUG: Frame 83 process time: 0.084625s
[19.700214] DEBUG: Frame 84 process time: 0.087787s
[19.910506] DEBUG: Frame 85 process time: 0.078678s
[20.031122] DEBUG: Frame 86 process time: 0.090258s
[20.145349] DEBUG: Frame 87 process time: 0.083996s
[20.257390] DEBUG: Frame 88 process time: 0.081744s
[20.575577] DEBUG: Frame 89 process time: 0.081623s
[20.690218] DEBUG: Frame 90 process time: 0.084326s
[20.806190] DEBUG: Frame 91 process time: 0.085689s
[20.920125] DEBUG: Frame 92 process time: 0.083733s
[21.225602] DEBUG: Frame 93 process time: 0.076992s
[21.342610] DEBUG: Frame 94 process time: 0.086520s
[21.458136] DEBUG: Frame 95 process time: 0.085272s
[21.579141] DEBUG: Frame 96 process time: 0.090749s
[21.942937] DEBUG: Frame 97 process time: 0.077887s
[22.060038] DEBUG: Frame 98 process time: 0.086152s
[22.173959] DEBUG: Frame 99 process time: 0.083708s
[22.204358] EVENT: Calculated point:   2.21472 -0.238874         0
[22.204406] CLOSE: Closing Logger :)
