[0.000583] INIT: Logger started :)
[0.000955] EVENT: Parameters parsed for blob detector
[0.001117] EVENT: Parameters parsed for math config
[0.001229] EVENT: Parameters parsed for color detection
[0.001312] EVENT: Parameters parsed for system config
[0.222191] EVENT: Camera Initialized Successfully
[0.756402] EVENT: Serial port /dev/ttyACM1 opened
[0.756722] EVENT: Starting Flight controller loop
[0.757887] EVENT: IMU serial port /dev/ttyACM0 opened
[0.758202] EVENT: IMU sensor data loop started
[1.768704] EVENT: Tracking loop started
[2.326295] DEBUG: Frame 0 process time: 0.557457s
[2.443502] DEBUG: Frame 1 process time: 0.075018s
[2.577168] DEBUG: Frame 2 process time: 0.076715s
[2.729153] DEBUG: Frame 3 process time: 0.076097s
[2.860330] DEBUG: Frame 4 process time: 0.075837s
[2.993891] DEBUG: Frame 5 process time: 0.076888s
[3.165856] DEBUG: Frame 6 process time: 0.076290s
[3.722804] DEBUG: Frame 7 process time: 0.076253s
[3.880663] DEBUG: Frame 8 process time: 0.086961s
[3.994140] DEBUG: Frame 9 process time: 0.083174s
[4.110029] DEBUG: Frame 10 process time: 0.076645s
[4.228373] DEBUG: Frame 11 process time: 0.087103s
[4.453242] DEBUG: Frame 12 process time: 0.076763s
[4.585052] DEBUG: Frame 13 process time: 0.101318s
[4.765856] DEBUG: Frame 14 process time: 0.076719s
[4.881935] DEBUG: Frame 15 process time: 0.084832s
[4.994674] DEBUG: Frame 16 process time: 0.082479s
[5.186000] DEBUG: Frame 17 process time: 0.077115s
[5.304245] DEBUG: Frame 18 process time: 0.087281s
[5.417313] DEBUG: Frame 19 process time: 0.082847s
[5.574172] DEBUG: Frame 20 process time: 0.077401s
[5.693809] DEBUG: Frame 21 process time: 0.089134s
[5.808329] DEBUG: Frame 22 process time: 0.084297s
[5.956858] DEBUG: Frame 23 process time: 0.076163s
[6.074899] DEBUG: Frame 24 process time: 0.087525s
[6.191478] DEBUG: Frame 25 process time: 0.086355s
[6.325916] DEBUG: Frame 26 process time: 0.077145s
[6.446971] DEBUG: Frame 27 process time: 0.090742s
[6.563853] DEBUG: Frame 28 process time: 0.086596s
[6.681669] DEBUG: Frame 29 process time: 0.076741s
[6.799025] DEBUG: Frame 30 process time: 0.086342s
[6.916735] DEBUG: Frame 31 process time: 0.087480s
[7.039198] DEBUG: Frame 32 process time: 0.088113s
[7.161573] DEBUG: Frame 33 process time: 0.076698s
[7.279603] DEBUG: Frame 34 process time: 0.087113s
[7.396109] DEBUG: Frame 35 process time: 0.086280s
[7.517220] DEBUG: Frame 36 process time: 0.076341s
[7.634631] DEBUG: Frame 37 process time: 0.086610s
