[0.000485] INIT: Logger started :)
[0.000835] EVENT: Parameters parsed for blob detector
[0.001000] EVENT: Parameters parsed for math config
[0.001111] EVENT: Parameters parsed for color detection
[0.001194] EVENT: Parameters parsed for system config
[0.224593] EVENT: Camera Initialized Successfully
[0.761051] EVENT: Serial port /dev/ttyACM1 opened
[0.761375] EVENT: Starting Flight controller loop
[0.762775] EVENT: IMU serial port /dev/ttyACM0 opened
[0.763105] EVENT: IMU sensor data loop started
[2.539396] EVENT: Tracking loop started
[3.133077] DEBUG: Frame 0 process time: 0.593550s
[3.267718] DEBUG: Frame 1 process time: 0.076397s
[3.384807] DEBUG: Frame 2 process time: 0.077569s
[3.545054] DEBUG: Frame 3 process time: 0.077862s
[3.680736] DEBUG: Frame 4 process time: 0.077596s
[3.815372] DEBUG: Frame 5 process time: 0.076246s
[3.971735] DEBUG: Frame 6 process time: 0.076505s
[4.534740] DEBUG: Frame 7 process time: 0.076687s
[4.683975] DEBUG: Frame 8 process time: 0.076710s
[4.809405] DEBUG: Frame 9 process time: 0.081528s
[4.919408] DEBUG: Frame 10 process time: 0.079751s
[5.035292] DEBUG: Frame 11 process time: 0.075852s
[5.155751] DEBUG: Frame 12 process time: 0.086599s
[5.375726] DEBUG: Frame 13 process time: 0.076511s
[5.487860] DEBUG: Frame 14 process time: 0.081598s
[5.595479] DEBUG: Frame 15 process time: 0.077410s
[5.703184] DEBUG: Frame 16 process time: 0.075932s
[5.815567] DEBUG: Frame 17 process time: 0.081958s
[6.008386] DEBUG: Frame 18 process time: 0.076932s
[6.121122] DEBUG: Frame 19 process time: 0.081959s
[6.230252] DEBUG: Frame 20 process time: 0.078599s
[6.356069] DEBUG: Frame 21 process time: 0.083852s
[6.467400] DEBUG: Frame 22 process time: 0.080730s
[6.583043] DEBUG: Frame 23 process time: 0.083235s
[6.762905] DEBUG: Frame 24 process time: 0.076546s
[6.879075] DEBUG: Frame 25 process time: 0.075792s
[7.244811] DEBUG: Frame 26 process time: 0.077626s
[7.578048] DEBUG: Frame 27 process time: 0.075297s
[7.692031] DEBUG: Frame 28 process time: 0.083191s
[7.801730] DEBUG: Frame 29 process time: 0.079481s
[7.928164] DEBUG: Frame 30 process time: 0.095676s
[8.039295] DEBUG: Frame 31 process time: 0.080907s
[8.154805] DEBUG: Frame 32 process time: 0.084281s
[8.264681] DEBUG: Frame 33 process time: 0.079660s
[8.384894] DEBUG: Frame 34 process time: 0.085130s
[8.493338] DEBUG: Frame 35 process time: 0.078180s
[8.617097] DEBUG: Frame 36 process time: 0.085411s
[8.726692] DEBUG: Frame 37 process time: 0.079377s
[8.843363] DEBUG: Frame 38 process time: 0.083453s
[8.952396] DEBUG: Frame 39 process time: 0.078768s
[9.077480] DEBUG: Frame 40 process time: 0.085573s
[9.187693] DEBUG: Frame 41 process time: 0.079810s
[9.387813] DEBUG: Frame 42 process time: 0.076271s
[9.501763] DEBUG: Frame 43 process time: 0.083646s
[9.668119] DEBUG: Frame 44 process time: 0.076591s
[9.782772] DEBUG: Frame 45 process time: 0.083977s
[9.952086] DEBUG: Frame 46 process time: 0.076342s
[10.065715] DEBUG: Frame 47 process time: 0.083118s
[10.176429] DEBUG: Frame 48 process time: 0.080440s
[10.289550] DEBUG: Frame 49 process time: 0.082523s
[10.399053] DEBUG: Frame 50 process time: 0.079280s
[10.604337] DEBUG: Frame 51 process time: 0.076885s
