[0.000414] INIT: Logger started :)
[0.000759] EVENT: Parameters parsed for blob detector
[0.000922] EVENT: Parameters parsed for math config
[0.001032] EVENT: Parameters parsed for color detection
[0.001120] EVENT: Parameters parsed for system config
[0.225850] EVENT: Camera Initialized Successfully
[0.760340] EVENT: Serial port /dev/ttyACM1 opened
[0.760662] EVENT: Starting Flight controller loop
[0.761563] EVENT: IMU serial port /dev/ttyACM0 opened
[0.761842] EVENT: IMU sensor data loop started
[1.794112] EVENT: Tracking loop started
[2.691440] DEBUG: Frame 0 process time: 0.896667s
[2.843977] DEBUG: Frame 1 process time: 0.097492s
[2.985621] DEBUG: Frame 2 process time: 0.093871s
[3.158588] DEBUG: Frame 3 process time: 0.096808s
[3.316787] DEBUG: Frame 4 process time: 0.102368s
[3.475521] DEBUG: Frame 5 process time: 0.105058s
[3.650974] DEBUG: Frame 6 process time: 0.088131s
[4.223398] DEBUG: Frame 7 process time: 0.080881s
[4.389665] DEBUG: Frame 8 process time: 0.114197s
[4.535929] DEBUG: Frame 9 process time: 0.081351s
[4.669151] DEBUG: Frame 10 process time: 0.102569s
[4.831636] DEBUG: Frame 11 process time: 0.077282s
[4.964307] DEBUG: Frame 12 process time: 0.101812s
[5.125493] DEBUG: Frame 13 process time: 0.075319s
[5.245748] DEBUG: Frame 14 process time: 0.089032s
[5.356909] DEBUG: Frame 15 process time: 0.080847s
[5.477224] DEBUG: Frame 16 process time: 0.089854s
[5.592757] DEBUG: Frame 17 process time: 0.085168s
[5.710050] DEBUG: Frame 18 process time: 0.086471s
[5.836773] DEBUG: Frame 19 process time: 0.096235s
[5.971758] DEBUG: Frame 20 process time: 0.102554s
[6.104061] DEBUG: Frame 21 process time: 0.101380s
[6.237453] DEBUG: Frame 22 process time: 0.100352s
[6.397527] DEBUG: Frame 23 process time: 0.074375s
[6.512621] DEBUG: Frame 24 process time: 0.084247s
[6.625054] DEBUG: Frame 25 process time: 0.082038s
[6.748624] DEBUG: Frame 26 process time: 0.090270s
