Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
3453478,0,0,0,0.0270471,0.0179134,0.40511,0.010472,-1.17286,0.0750492,0.0101312,-1.1729,0.0716259,251,64,5.45286,-0.583942,0
3875082,0,0,0,0.0269783,0.017853,0.407148,0.0122173,-1.17112,0.0541052,0.0119453,-1.1711,0.0486437,253,64,5.45819,-0.661788,0
4147710,0,0,0,0.0270661,0.0179267,0.406121,0.0122173,-1.17286,0.0401426,0.0118575,-1.17292,0.035708,254,65,5.40949,-0.721978,0
4454204,0,0,0,0.0268714,0.0179376,0.404695,0.010472,-1.17461,0.0383972,0.0103069,-1.17467,0.035389,255,64,5.40619,-0.718532,0
4721371,0,0,0,0.0272194,0.0179957,0.405515,0.010472,-1.18333,0.0331613,0.00995894,-1.18346,0.029333,255,64,5.30956,-0.744939,0
5878812,0,0,0,0.027619,0.0181264,0.403773,0.0122173,-1.15715,0.0279253,0.0113046,-1.15741,0.0258386,263,59,5.68463,-0.664891,8.88178e-16
9164735,0,0,0,0.026535,0.0178639,0.403415,0.0122173,-0.996583,0.0279253,0.0123887,-0.996576,0.0261967,269,71,7.49873,-0.648118,0
9398661,0,0,0,0.0265435,0.0179217,0.402077,0.0122173,-0.987856,0.0279253,0.0123802,-0.987907,0.0275344,274,121,6.31997,-0.545307,0
9646640,0,0,0,0.0265771,0.0178379,0.404754,0.0122173,-0.968658,0.0279253,0.0123465,-0.968624,0.0248573,273,116,6.69344,-0.573842,0
9917625,0,0,0,0.0265771,0.0178379,0.404754,0.0122173,-0.963422,0.0279253,0.0123465,-0.963388,0.0248573,272,107,7.00124,-0.598344,0
10349202,0,0,0,0.0265946,0.0177622,0.407609,0.0122173,-0.932006,0.0261799,0.012329,-0.931897,0.0202577,272,101,7.63541,-0.63487,0
10611611,0,0,0,0.0265946,0.0177622,0.407609,0.0122173,-0.92677,0.0261799,0.012329,-0.926661,0.0202577,277,171,5.87111,-0.513975,0
10869222,0,0,0,0.0265946,0.0177622,0.407609,0.015708,-0.909317,0.0244346,0.0158196,-0.909207,0.0185123,276,175,5.98516,-0.5427,0
11133205,0,0,0,0.0265115,0.0178627,0.404655,0.0122173,-0.905826,0.0244346,0.0124122,-0.905817,0.0214662,277,185,5.78852,-0.52617,0
11609893,0,0,0,0.026514,0.0178627,0.405468,0.0122173,-0.881391,0.0226893,0.0124096,-0.881383,0.0189075,277,187,6.02608,-0.545961,-8.88178e-16
11880800,0,0,0,0.026514,0.0178627,0.405468,0.0122173,-0.877901,0.0226893,0.0124096,-0.877892,0.0189075,278,208,5.57898,-0.519695,0
12145435,0,0,0,0.026514,0.0178627,0.405468,0.0122173,-0.870919,0.0226893,0.0124096,-0.870911,0.0189075,279,215,5.49923,-0.502704,0
12401548,0,0,0,0.026514,0.0178627,0.405468,0.0122173,-0.862193,0.020944,0.0124096,-0.862184,0.0171622,279,220,5.48283,-0.512957,0
12855097,0,0,0,0.0263773,0.0180402,0.400037,0.0122173,-0.849975,0.020944,0.0125463,-0.850144,0.022593,279,226,5.48313,-0.513987,0
13118358,0,0,0,0.0263773,0.0180402,0.400037,0.0122173,-0.839503,0.020944,0.0125463,-0.839672,0.022593,281,236,5.37569,-0.480453,0
13381173,0,0,0,0.0263773,0.0180402,0.400037,0.0122173,-0.834267,0.020944,0.0125463,-0.834436,0.022593,281,241,5.32326,-0.479772,0
13638565,0,0,0,0.026205,0.0180875,0.398334,0.0122173,-0.825541,0.020944,0.0127186,-0.825757,0.0242964,281,248,5.26531,-0.47836,0
14042648,0,0,0,0.0261827,0.0180692,0.398191,0.0122173,-0.794125,0.020944,0.0127409,-0.794323,0.0244395,282,259,5.36012,-0.467229,0
14300149,0,0,0,0.0262085,0.0181268,0.396739,0.010472,-0.787143,0.020944,0.0109698,-0.787399,0.0258917,282,260,5.41158,-0.468704,0
14567841,0,0,0,0.0263066,0.0180746,0.398121,0.010472,-0.778417,0.0244346,0.0108717,-0.77862,0.0280005,282,266,5.37616,-0.450119,0
14821916,0,0,0,0.0263066,0.0180746,0.398121,0.010472,-0.785398,0.0279253,0.0108717,-0.785601,0.0314911,282,267,5.28244,-0.429343,0
15089796,0,0,0,0.0262507,0.018137,0.396351,0.010472,-0.760964,0.0279253,0.0109276,-0.761229,0.0332609,282,280,5.26254,-0.42985,0
15644927,0,0,0,0.0262069,0.0180928,0.395197,0.0122173,-0.794125,0.0366519,0.0127168,-0.794346,0.0431416,282,295,4.63942,-0.377974,0
