Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
2639655,0,0,0,0,0,0,-0,-1.5708,-0.00872665,0,-1.5708,-0.00872665,256,169,0.822837,-0.754831,0
3010457,0,0,0,0,0,0,0.00698132,-1.5708,-0.0122173,0.00698132,-1.5708,-0.0122173,256,169,0.825466,-0.751954,0
3273289,0,0,0,0,0,0,0.00698132,-1.56731,-0.0122173,0.00698132,-1.56731,-0.0122173,256,170,0.834169,-0.752519,0
3569675,0,0,0,0,0,0,0.00349066,-1.55858,-0.010472,0.00349066,-1.55858,-0.010472,256,170,0.883903,-0.755423,0
3855521,0,0,0,0,0,0,0.00349066,-1.55509,-0.010472,0.00349066,-1.55509,-0.010472,256,170,0.90436,-0.756048,0
4131692,0,0,0,0,0,0,0.00698132,-1.55509,-0.0122173,0.00698132,-1.55509,-0.0122173,257,169,0.91748,-0.743164,0
4431248,0,0,0,0,0,0,0.00349066,-1.55509,-0.010472,0.00349066,-1.55509,-0.010472,256,171,0.892624,-0.755942,0
4989757,0,0,0,0,0,0,0.00349066,-1.54811,-0.0139626,0.00349066,-1.54811,-0.0139626,256,171,0.930933,-0.760465,0
5413553,0,0,0,0,0,0,0.00698132,-1.54811,-0.0174533,0.00698132,-1.54811,-0.0174533,255,175,0.883773,-0.772014,0
5701977,0,0,0,0,0,0,0.00349066,-1.53938,-0.0279253,0.00349066,-1.53938,-0.0279253,256,175,0.924357,-0.774579,0
5972510,0,0,0,0,0,0,0.00349066,-1.52018,-0.0436332,0.00349066,-1.52018,-0.0436332,257,176,1.01367,-0.784139,0
6327385,0,0,0,0,0,0,0.00698132,-1.47829,-0.0698132,0.00698132,-1.47829,-0.0698132,256,176,1.2435,-0.843584,0
6593791,0,0,0,0,0,0,0.010472,-1.46608,-0.0820305,0.010472,-1.46608,-0.0820305,257,176,1.31012,-0.8526,0
7063080,0,0,0,0,0,0,0.0122173,-1.44513,-0.144862,0.0122173,-1.44513,-0.144862,257,177,1.36886,-0.952507,0
7334342,0,0,0,0,0,0,0.015708,-1.4748,-0.151844,0.015708,-1.4748,-0.151844,258,181,1.14195,-0.908378,0
7608520,0,0,0,0,0,0,0.015708,-1.47829,-0.151844,0.015708,-1.47829,-0.151844,261,190,1.01905,-0.853488,0
7928065,0,0,0,0,0,0,0.015708,-1.43466,-0.164061,0.015708,-1.43466,-0.164061,264,201,1.13862,-0.857825,0
8189049,0,0,0,0,0,0,0.0191986,-1.43815,-0.164061,0.0191986,-1.43815,-0.164061,266,204,1.08811,-0.823309,0
