[0.000443] INIT: Logger started :)
[0.000810] EVENT: Parameters parsed for blob detector
[0.000978] EVENT: Parameters parsed for math config
[0.001089] EVENT: Parameters parsed for color detection
[0.001172] EVENT: Parameters parsed for system config
[0.224461] EVENT: Camera Initialized Successfully
[0.763901] EVENT: Serial port /dev/ttyACM1 opened
[0.764221] EVENT: Starting Flight controller loop
[0.765904] EVENT: IMU serial port /dev/ttyACM0 opened
[0.766217] EVENT: IMU sensor data loop started
[1.806241] EVENT: Tracking loop started
[2.384011] DEBUG: Frame 0 process time: 0.577625s
[2.511230] DEBUG: Frame 1 process time: 0.077447s
[2.630718] DEBUG: Frame 2 process time: 0.077167s
[3.772277] DEBUG: Frame 3 process time: 0.077524s
[4.006723] DEBUG: Frame 4 process time: 0.076626s
[4.518950] DEBUG: Frame 5 process time: 0.077177s
[4.663206] DEBUG: Frame 6 process time: 0.077630s
[4.826925] DEBUG: Frame 7 process time: 0.077427s
[4.935359] DEBUG: Frame 8 process time: 0.077733s
[5.615387] DEBUG: Frame 9 process time: 0.081084s
[6.519265] DEBUG: Frame 10 process time: 0.077692s
[6.653877] DEBUG: Frame 11 process time: 0.085476s
[6.765581] DEBUG: Frame 12 process time: 0.081461s
[6.876783] DEBUG: Frame 13 process time: 0.080982s
[7.074417] DEBUG: Frame 14 process time: 0.078004s
[7.185723] DEBUG: Frame 15 process time: 0.080682s
[7.294215] DEBUG: Frame 16 process time: 0.078185s
[7.517233] DEBUG: Frame 17 process time: 0.075186s
[7.630175] DEBUG: Frame 18 process time: 0.081839s
[7.739136] DEBUG: Frame 19 process time: 0.078301s
[7.930069] DEBUG: Frame 20 process time: 0.078148s
[8.041636] DEBUG: Frame 21 process time: 0.081068s
[8.152666] DEBUG: Frame 22 process time: 0.080718s
[8.303747] DEBUG: Frame 23 process time: 0.075457s
[8.422099] DEBUG: Frame 24 process time: 0.087059s
[8.530459] DEBUG: Frame 25 process time: 0.078095s
[8.673097] DEBUG: Frame 26 process time: 0.075006s
[8.783175] DEBUG: Frame 27 process time: 0.079214s
[9.043775] DEBUG: Frame 28 process time: 0.074974s
