[0.215747] INIT: Logger started :)
[0.216106] EVENT: Parameters parsed for blob detector
[0.216273] EVENT: Parameters parsed for math config
[0.216385] EVENT: Parameters parsed for color detection
[0.216468] EVENT: Parameters parsed for system config
[0.440161] EVENT: Camera Initialized Successfully
[0.979848] EVENT: Serial port /dev/ttyACM1 opened
[0.980171] EVENT: Starting Flight controller loop
[0.981077] EVENT: IMU serial port /dev/ttyACM0 opened
[0.981383] EVENT: IMU sensor data loop started
[2.079876] EVENT: Tracking loop started
[2.657636] DEBUG: Frame 0 process time: 0.577628s
[2.771493] DEBUG: Frame 1 process time: 0.075636s
[2.905198] DEBUG: Frame 2 process time: 0.076726s
[3.064633] DEBUG: Frame 3 process time: 0.076864s
[3.224324] DEBUG: Frame 4 process time: 0.076478s
[3.356529] DEBUG: Frame 5 process time: 0.076840s
[3.517149] DEBUG: Frame 6 process time: 0.077255s
[3.865559] DEBUG: Frame 7 process time: 0.081141s
[4.085015] DEBUG: Frame 8 process time: 0.077171s
[4.217805] DEBUG: Frame 9 process time: 0.085457s
[4.328459] DEBUG: Frame 10 process time: 0.080397s
[4.499689] DEBUG: Frame 11 process time: 0.075767s
[4.612543] DEBUG: Frame 12 process time: 0.081869s
[4.948284] DEBUG: Frame 13 process time: 0.076435s
[5.060311] DEBUG: Frame 14 process time: 0.081304s
[5.185664] DEBUG: Frame 15 process time: 0.080328s
[5.352156] DEBUG: Frame 16 process time: 0.076209s
[5.474323] DEBUG: Frame 17 process time: 0.091292s
[5.586347] DEBUG: Frame 18 process time: 0.081250s
[5.740514] DEBUG: Frame 19 process time: 0.076662s
[5.853980] DEBUG: Frame 20 process time: 0.082438s
[5.966691] DEBUG: Frame 21 process time: 0.081862s
[6.120770] DEBUG: Frame 22 process time: 0.076585s
[6.237091] DEBUG: Frame 23 process time: 0.085772s
[6.348415] DEBUG: Frame 24 process time: 0.080952s
[6.503872] DEBUG: Frame 25 process time: 0.074796s
[6.612473] DEBUG: Frame 26 process time: 0.078217s
[6.723852] DEBUG: Frame 27 process time: 0.080879s
[6.891919] DEBUG: Frame 28 process time: 0.075838s
[7.004712] DEBUG: Frame 29 process time: 0.082097s
[7.114229] DEBUG: Frame 30 process time: 0.079274s
[7.243488] DEBUG: Frame 31 process time: 0.075498s
[7.356740] DEBUG: Frame 32 process time: 0.082320s
[7.596299] DEBUG: Frame 33 process time: 0.076261s
[7.711725] DEBUG: Frame 34 process time: 0.075717s
[7.827248] DEBUG: Frame 35 process time: 0.074900s
[7.943301] DEBUG: Frame 36 process time: 0.075353s
[8.063507] DEBUG: Frame 37 process time: 0.075505s
[8.179352] DEBUG: Frame 38 process time: 0.075042s
[8.295384] DEBUG: Frame 39 process time: 0.074946s
[8.410219] DEBUG: Frame 40 process time: 0.074537s
[8.521157] DEBUG: Frame 41 process time: 0.076848s
[8.654750] DEBUG: Frame 42 process time: 0.074674s
[8.774865] DEBUG: Frame 43 process time: 0.074922s
[8.890661] DEBUG: Frame 44 process time: 0.074628s
[9.007192] DEBUG: Frame 45 process time: 0.075248s
[9.134500] DEBUG: Frame 46 process time: 0.074458s
[9.259234] DEBUG: Frame 47 process time: 0.074946s
[9.379601] DEBUG: Frame 48 process time: 0.075068s
[9.499422] DEBUG: Frame 49 process time: 0.075463s
[9.615158] DEBUG: Frame 50 process time: 0.075147s
[9.735230] DEBUG: Frame 51 process time: 0.075197s
[9.859532] DEBUG: Frame 52 process time: 0.075538s
[9.971524] DEBUG: Frame 53 process time: 0.080951s
[10.080819] DEBUG: Frame 54 process time: 0.078960s
[10.227610] DEBUG: Frame 55 process time: 0.075505s
[10.338844] DEBUG: Frame 56 process time: 0.079889s
[10.450459] DEBUG: Frame 57 process time: 0.081289s
[10.595536] DEBUG: Frame 58 process time: 0.075185s
[10.706805] DEBUG: Frame 59 process time: 0.079999s
[10.816962] DEBUG: Frame 60 process time: 0.079887s
[10.956476] DEBUG: Frame 61 process time: 0.076558s
[11.069541] DEBUG: Frame 62 process time: 0.081890s
[11.179449] DEBUG: Frame 63 process time: 0.079637s
[11.307680] DEBUG: Frame 64 process time: 0.075563s
[11.421624] DEBUG: Frame 65 process time: 0.083134s
[11.532661] DEBUG: Frame 66 process time: 0.080810s
[11.669043] DEBUG: Frame 67 process time: 0.076926s
[11.782518] DEBUG: Frame 68 process time: 0.083015s
[11.893244] DEBUG: Frame 69 process time: 0.080520s
[12.029325] DEBUG: Frame 70 process time: 0.076793s
[12.144535] DEBUG: Frame 71 process time: 0.084139s
[12.256484] DEBUG: Frame 72 process time: 0.081704s
[12.401730] DEBUG: Frame 73 process time: 0.077524s
[12.514290] DEBUG: Frame 74 process time: 0.081771s
[12.625334] DEBUG: Frame 75 process time: 0.080725s
[12.744791] DEBUG: Frame 76 process time: 0.076609s
[12.858237] DEBUG: Frame 77 process time: 0.082461s
[12.969517] DEBUG: Frame 78 process time: 0.081040s
[13.109161] DEBUG: Frame 79 process time: 0.074942s
[13.226745] DEBUG: Frame 80 process time: 0.086967s
[13.336746] DEBUG: Frame 81 process time: 0.079690s
[13.453934] DEBUG: Frame 82 process time: 0.086296s
[13.572904] DEBUG: Frame 83 process time: 0.076913s
[13.684385] DEBUG: Frame 84 process time: 0.080487s
[13.891964] DEBUG: Frame 85 process time: 0.075141s
[14.002767] DEBUG: Frame 86 process time: 0.079720s
[14.111022] DEBUG: Frame 87 process time: 0.077927s
[14.219462] DEBUG: Frame 88 process time: 0.075204s
[14.337709] DEBUG: Frame 89 process time: 0.086998s
[14.446867] DEBUG: Frame 90 process time: 0.078885s
[14.560615] DEBUG: Frame 91 process time: 0.082198s
[14.684680] DEBUG: Frame 92 process time: 0.076619s
[14.805314] DEBUG: Frame 93 process time: 0.089707s
[14.924174] DEBUG: Frame 94 process time: 0.088590s
[15.161081] DEBUG: Frame 95 process time: 0.075458s
[15.273741] DEBUG: Frame 96 process time: 0.082149s
[15.385897] DEBUG: Frame 97 process time: 0.078390s
[15.530975] DEBUG: Frame 98 process time: 0.074824s
[15.643359] DEBUG: Frame 99 process time: 0.081384s
[15.673871] EVENT: Calculated point:    2.5809 -0.855992         0
[15.673921] CLOSE: Closing Logger :)
