[0.000446] INIT: Logger started :)
[0.000796] EVENT: Parameters parsed for blob detector
[0.000959] EVENT: Parameters parsed for math config
[0.001068] EVENT: Parameters parsed for color detection
[0.001150] EVENT: Parameters parsed for system config
[0.222255] EVENT: Camera Initialized Successfully
[0.756938] EVENT: Serial port /dev/ttyACM1 opened
[0.757259] EVENT: Starting Flight controller loop
[0.759658] EVENT: IMU serial port /dev/ttyACM0 opened
[0.759960] EVENT: IMU sensor data loop started
[1.838500] EVENT: Tracking loop started
[2.537971] DEBUG: Frame 0 process time: 0.699270s
[2.658079] DEBUG: Frame 1 process time: 0.072746s
[2.787824] DEBUG: Frame 2 process time: 0.074693s
[2.944807] DEBUG: Frame 3 process time: 0.074953s
[3.087263] DEBUG: Frame 4 process time: 0.074189s
[3.228017] DEBUG: Frame 5 process time: 0.074412s
[3.384032] DEBUG: Frame 6 process time: 0.074788s
[3.490540] DEBUG: Frame 7 process time: 0.073410s
[4.107926] DEBUG: Frame 8 process time: 0.074881s
[4.233250] DEBUG: Frame 9 process time: 0.079795s
[4.342322] DEBUG: Frame 10 process time: 0.078683s
[4.482901] DEBUG: Frame 11 process time: 0.073447s
[4.594003] DEBUG: Frame 12 process time: 0.080116s
[4.701494] DEBUG: Frame 13 process time: 0.077173s
[4.849063] DEBUG: Frame 14 process time: 0.074243s
[4.960085] DEBUG: Frame 15 process time: 0.079901s
[5.070539] DEBUG: Frame 16 process time: 0.079398s
[5.378524] DEBUG: Frame 17 process time: 0.073239s
[5.487064] DEBUG: Frame 18 process time: 0.077882s
[5.593856] DEBUG: Frame 19 process time: 0.076490s
[5.766944] DEBUG: Frame 20 process time: 0.073819s
[5.886631] DEBUG: Frame 21 process time: 0.073482s
[5.999532] DEBUG: Frame 22 process time: 0.074350s
[6.115339] DEBUG: Frame 23 process time: 0.074149s
[6.244441] DEBUG: Frame 24 process time: 0.074772s
[6.379770] DEBUG: Frame 25 process time: 0.074490s
