[0.000609] INIT: Logger started :)
[0.000950] EVENT: Parameters parsed for blob detector
[0.001115] EVENT: Parameters parsed for math config
[0.001225] EVENT: Parameters parsed for color detection
[0.001308] EVENT: Parameters parsed for system config
[0.224662] EVENT: Camera Initialized Successfully
[0.768289] EVENT: Serial port /dev/ttyACM1 opened
[0.768614] EVENT: Starting Flight controller loop
[0.769895] EVENT: IMU serial port /dev/ttyACM0 opened
[0.770132] EVENT: IMU sensor data loop started
[1.832898] EVENT: Tracking loop started
[2.406461] DEBUG: Frame 0 process time: 0.573431s
[2.552213] DEBUG: Frame 1 process time: 0.075444s
[2.669609] DEBUG: Frame 2 process time: 0.076942s
[2.825043] DEBUG: Frame 3 process time: 0.076381s
[2.956793] DEBUG: Frame 4 process time: 0.076170s
[3.089200] DEBUG: Frame 5 process time: 0.076514s
[3.246411] DEBUG: Frame 6 process time: 0.077628s
[3.817544] DEBUG: Frame 7 process time: 0.076912s
[3.977586] DEBUG: Frame 8 process time: 0.094995s
[4.088422] DEBUG: Frame 9 process time: 0.080445s
[4.210878] DEBUG: Frame 10 process time: 0.086116s
[4.396011] DEBUG: Frame 11 process time: 0.079044s
[4.514216] DEBUG: Frame 12 process time: 0.087722s
[4.679230] DEBUG: Frame 13 process time: 0.077915s
[4.794119] DEBUG: Frame 14 process time: 0.083638s
[4.963483] DEBUG: Frame 15 process time: 0.078202s
[5.077525] DEBUG: Frame 16 process time: 0.083232s
[5.189614] DEBUG: Frame 17 process time: 0.081865s
[5.307531] DEBUG: Frame 18 process time: 0.086468s
[5.490115] DEBUG: Frame 19 process time: 0.077295s
[5.604607] DEBUG: Frame 20 process time: 0.083562s
[5.717087] DEBUG: Frame 21 process time: 0.082259s
[5.830773] DEBUG: Frame 22 process time: 0.081734s
[5.942925] DEBUG: Frame 23 process time: 0.081766s
[6.058038] DEBUG: Frame 24 process time: 0.084721s
[6.169936] DEBUG: Frame 25 process time: 0.081677s
[6.305224] DEBUG: Frame 26 process time: 0.076364s
[6.670946] DEBUG: Frame 27 process time: 0.078018s
[7.007688] DEBUG: Frame 28 process time: 0.077221s
[7.124938] DEBUG: Frame 29 process time: 0.086771s
[7.235524] DEBUG: Frame 30 process time: 0.080362s
[7.357474] DEBUG: Frame 31 process time: 0.084248s
[7.468296] DEBUG: Frame 32 process time: 0.080597s
[7.591804] DEBUG: Frame 33 process time: 0.086662s
[7.703583] DEBUG: Frame 34 process time: 0.081567s
[7.831894] DEBUG: Frame 35 process time: 0.086897s
[7.942667] DEBUG: Frame 36 process time: 0.080499s
[8.057715] DEBUG: Frame 37 process time: 0.084403s
[8.168937] DEBUG: Frame 38 process time: 0.081007s
[8.284937] DEBUG: Frame 39 process time: 0.076105s
[8.399706] DEBUG: Frame 40 process time: 0.084170s
[8.509716] DEBUG: Frame 41 process time: 0.079802s
[8.621102] DEBUG: Frame 42 process time: 0.081096s
[8.805265] DEBUG: Frame 43 process time: 0.076245s
[8.916797] DEBUG: Frame 44 process time: 0.080372s
[9.029822] DEBUG: Frame 45 process time: 0.082820s
[9.144413] DEBUG: Frame 46 process time: 0.083289s
[9.326343] DEBUG: Frame 47 process time: 0.076814s
[9.438130] DEBUG: Frame 48 process time: 0.080890s
[9.547944] DEBUG: Frame 49 process time: 0.079600s
[9.657388] DEBUG: Frame 50 process time: 0.076544s
[9.768244] DEBUG: Frame 51 process time: 0.080115s
[9.877183] DEBUG: Frame 52 process time: 0.078731s
[9.987758] DEBUG: Frame 53 process time: 0.079411s
[10.098569] DEBUG: Frame 54 process time: 0.080589s
[10.298170] DEBUG: Frame 55 process time: 0.076699s
[10.409290] DEBUG: Frame 56 process time: 0.080738s
[10.518850] DEBUG: Frame 57 process time: 0.079336s
[10.637756] DEBUG: Frame 58 process time: 0.080581s
[10.747852] DEBUG: Frame 59 process time: 0.079868s
[10.862068] DEBUG: Frame 60 process time: 0.077177s
[10.972832] DEBUG: Frame 61 process time: 0.080240s
[11.082410] DEBUG: Frame 62 process time: 0.079362s
[11.202597] DEBUG: Frame 63 process time: 0.081430s
[11.312337] DEBUG: Frame 64 process time: 0.079528s
[11.529106] DEBUG: Frame 65 process time: 0.076228s
[11.640669] DEBUG: Frame 66 process time: 0.081097s
[11.805826] DEBUG: Frame 67 process time: 0.076538s
[11.916621] DEBUG: Frame 68 process time: 0.080180s
[12.026653] DEBUG: Frame 69 process time: 0.079812s
[12.133300] DEBUG: Frame 70 process time: 0.076328s
[12.243679] DEBUG: Frame 71 process time: 0.079733s
[12.353317] DEBUG: Frame 72 process time: 0.079337s
[12.477095] DEBUG: Frame 73 process time: 0.079839s
