[0.000694] INIT: Logger started :)
[0.001037] EVENT: Parameters parsed for blob detector
[0.001198] EVENT: Parameters parsed for math config
[0.001313] EVENT: Parameters parsed for color detection
[0.001398] EVENT: Parameters parsed for system config
[0.223041] EVENT: Camera Initialized Successfully
[0.757491] EVENT: Serial port /dev/ttyACM1 opened
[0.757808] EVENT: Starting Flight controller loop
[0.760211] EVENT: IMU serial port /dev/ttyACM0 opened
[0.760508] EVENT: IMU sensor data loop started
[1.864949] EVENT: Tracking loop started
[2.443444] DEBUG: Frame 0 process time: 0.578361s
[2.574544] DEBUG: Frame 1 process time: 0.076169s
[2.706261] DEBUG: Frame 2 process time: 0.076800s
[2.870406] DEBUG: Frame 3 process time: 0.077011s
[3.012484] DEBUG: Frame 4 process time: 0.075791s
[3.165490] DEBUG: Frame 5 process time: 0.076071s
[3.327026] DEBUG: Frame 6 process time: 0.076992s
[4.032509] DEBUG: Frame 7 process time: 0.080848s
[4.212481] DEBUG: Frame 8 process time: 0.079253s
[4.384024] DEBUG: Frame 9 process time: 0.100837s
[4.512472] DEBUG: Frame 10 process time: 0.097464s
[4.733925] DEBUG: Frame 11 process time: 0.079916s
[4.862318] DEBUG: Frame 12 process time: 0.097983s
[4.992345] DEBUG: Frame 13 process time: 0.099050s
[5.163956] DEBUG: Frame 14 process time: 0.078327s
[5.296742] DEBUG: Frame 15 process time: 0.097944s
[5.425270] DEBUG: Frame 16 process time: 0.098272s
[5.598661] DEBUG: Frame 17 process time: 0.077917s
[5.715834] DEBUG: Frame 18 process time: 0.078208s
[6.160089] DEBUG: Frame 19 process time: 0.078104s
[6.627993] DEBUG: Frame 20 process time: 0.077956s
[6.757586] DEBUG: Frame 21 process time: 0.099173s
[6.883416] DEBUG: Frame 22 process time: 0.095608s
[7.047121] DEBUG: Frame 23 process time: 0.077265s
[7.164760] DEBUG: Frame 24 process time: 0.086986s
[7.284847] DEBUG: Frame 25 process time: 0.089692s
[7.493208] DEBUG: Frame 26 process time: 0.078181s
[7.613699] DEBUG: Frame 27 process time: 0.089845s
[7.742910] DEBUG: Frame 28 process time: 0.098979s
[7.935459] DEBUG: Frame 29 process time: 0.077651s
[8.054851] DEBUG: Frame 30 process time: 0.088912s
[8.170456] DEBUG: Frame 31 process time: 0.085395s
[8.315953] DEBUG: Frame 32 process time: 0.078146s
[8.434469] DEBUG: Frame 33 process time: 0.087827s
[8.550538] DEBUG: Frame 34 process time: 0.085845s
[8.688528] DEBUG: Frame 35 process time: 0.077686s
[8.808010] DEBUG: Frame 36 process time: 0.088251s
[8.921610] DEBUG: Frame 37 process time: 0.083366s
[9.215230] DEBUG: Frame 38 process time: 0.077382s
[9.324339] DEBUG: Frame 39 process time: 0.076589s
[9.441522] DEBUG: Frame 40 process time: 0.086861s
[9.556451] DEBUG: Frame 41 process time: 0.084713s
[9.722646] DEBUG: Frame 42 process time: 0.076727s
[9.836997] DEBUG: Frame 43 process time: 0.084074s
[9.952208] DEBUG: Frame 44 process time: 0.084998s
[10.154725] DEBUG: Frame 45 process time: 0.076842s
[10.271424] DEBUG: Frame 46 process time: 0.085554s
[10.388864] DEBUG: Frame 47 process time: 0.087087s
[10.547466] DEBUG: Frame 48 process time: 0.077716s
[10.663978] DEBUG: Frame 49 process time: 0.085789s
[10.780676] DEBUG: Frame 50 process time: 0.086487s
[10.938943] DEBUG: Frame 51 process time: 0.076621s
[11.058247] DEBUG: Frame 52 process time: 0.088102s
[11.175048] DEBUG: Frame 53 process time: 0.086430s
[11.299389] DEBUG: Frame 54 process time: 0.077157s
[11.418388] DEBUG: Frame 55 process time: 0.088282s
[11.536503] DEBUG: Frame 56 process time: 0.087858s
[11.770885] DEBUG: Frame 57 process time: 0.078210s
[11.882873] DEBUG: Frame 58 process time: 0.081090s
