[0.000430] INIT: Logger started :)
[0.000794] EVENT: Parameters parsed for blob detector
[0.000979] EVENT: Parameters parsed for math config
[0.001089] EVENT: Parameters parsed for color detection
[0.001171] EVENT: Parameters parsed for system config
[0.212444] EVENT: Camera Initialized Successfully
[0.867921] EVENT: Serial port /dev/serial0 opened
[0.868239] EVENT: Starting Flight controller loop
[0.869595] EVENT: IMU serial port /dev/ttyACM0 opened
[0.869904] EVENT: IMU sensor data loop started
[2.824503] EVENT: Tracking loop started
[3.425297] DEBUG: Frame 0 process time: 0.600662s
[3.563496] DEBUG: Frame 1 process time: 0.075334s
[3.695360] DEBUG: Frame 2 process time: 0.076440s
[3.861088] DEBUG: Frame 3 process time: 0.076486s
[3.986480] DEBUG: Frame 4 process time: 0.079039s
[4.111004] DEBUG: Frame 5 process time: 0.075298s
[4.263288] DEBUG: Frame 6 process time: 0.075808s
[4.451332] DEBUG: Frame 7 process time: 0.080501s
[4.562769] DEBUG: Frame 8 process time: 0.079237s
[6.389614] DEBUG: Frame 9 process time: 0.114589s
[6.567572] DEBUG: Frame 10 process time: 0.100564s
[6.693955] DEBUG: Frame 11 process time: 0.095855s
[6.815109] DEBUG: Frame 12 process time: 0.090788s
[7.174086] DEBUG: Frame 13 process time: 0.076913s
[7.290669] DEBUG: Frame 14 process time: 0.086159s
[7.420624] DEBUG: Frame 15 process time: 0.099637s
[7.538427] DEBUG: Frame 16 process time: 0.087597s
[7.816884] DEBUG: Frame 17 process time: 0.077581s
[7.931596] DEBUG: Frame 18 process time: 0.084146s
[8.046787] DEBUG: Frame 19 process time: 0.084967s
[8.168165] DEBUG: Frame 20 process time: 0.091156s
[8.492246] DEBUG: Frame 21 process time: 0.081416s
[8.607698] DEBUG: Frame 22 process time: 0.085080s
[8.719326] DEBUG: Frame 23 process time: 0.081408s
[8.833078] DEBUG: Frame 24 process time: 0.083530s
[9.135481] DEBUG: Frame 25 process time: 0.076566s
[9.249678] DEBUG: Frame 26 process time: 0.083692s
[9.362803] DEBUG: Frame 27 process time: 0.082748s
[9.481027] DEBUG: Frame 28 process time: 0.087968s
[9.723422] DEBUG: Frame 29 process time: 0.076760s
[9.836953] DEBUG: Frame 30 process time: 0.082339s
[9.946006] DEBUG: Frame 31 process time: 0.078829s
[10.063100] DEBUG: Frame 32 process time: 0.086843s
[10.175971] DEBUG: Frame 33 process time: 0.082651s
[10.583343] DEBUG: Frame 34 process time: 0.076725s
[10.699176] DEBUG: Frame 35 process time: 0.084681s
[10.812591] DEBUG: Frame 36 process time: 0.083206s
[10.925279] DEBUG: Frame 37 process time: 0.082476s
[11.211186] DEBUG: Frame 38 process time: 0.076554s
[11.326859] DEBUG: Frame 39 process time: 0.084585s
[11.444429] DEBUG: Frame 40 process time: 0.087330s
[11.558666] DEBUG: Frame 41 process time: 0.083972s
[11.819943] DEBUG: Frame 42 process time: 0.077764s
[11.934788] DEBUG: Frame 43 process time: 0.084364s
[12.048466] DEBUG: Frame 44 process time: 0.083455s
[12.161600] DEBUG: Frame 45 process time: 0.082935s
[12.468330] DEBUG: Frame 46 process time: 0.081524s
[12.583842] DEBUG: Frame 47 process time: 0.084727s
[12.697184] DEBUG: Frame 48 process time: 0.082981s
[12.812261] DEBUG: Frame 49 process time: 0.084823s
[13.107695] DEBUG: Frame 50 process time: 0.076958s
[13.223583] DEBUG: Frame 51 process time: 0.084846s
[13.338324] DEBUG: Frame 52 process time: 0.084524s
[13.452160] DEBUG: Frame 53 process time: 0.083633s
[13.803047] DEBUG: Frame 54 process time: 0.076690s
[13.914368] DEBUG: Frame 55 process time: 0.080908s
[14.030976] DEBUG: Frame 56 process time: 0.086365s
[14.153661] DEBUG: Frame 57 process time: 0.092467s
[14.457090] DEBUG: Frame 58 process time: 0.082568s
[14.572362] DEBUG: Frame 59 process time: 0.084934s
[14.685625] DEBUG: Frame 60 process time: 0.083042s
[14.798299] DEBUG: Frame 61 process time: 0.082420s
[15.156209] DEBUG: Frame 62 process time: 0.077688s
[15.271109] DEBUG: Frame 63 process time: 0.083720s
[15.382987] DEBUG: Frame 64 process time: 0.081433s
[15.495222] DEBUG: Frame 65 process time: 0.081883s
[15.607754] DEBUG: Frame 66 process time: 0.082284s
[15.972272] DEBUG: Frame 67 process time: 0.081830s
[16.084926] DEBUG: Frame 68 process time: 0.081724s
[16.199010] DEBUG: Frame 69 process time: 0.083869s
[16.313524] DEBUG: Frame 70 process time: 0.084214s
[16.430088] DEBUG: Frame 71 process time: 0.086319s
[16.964958] DEBUG: Frame 72 process time: 0.077905s
[17.086716] DEBUG: Frame 73 process time: 0.079186s
[17.197227] DEBUG: Frame 74 process time: 0.080275s
[17.309898] DEBUG: Frame 75 process time: 0.082450s
[17.420085] DEBUG: Frame 76 process time: 0.079961s
[17.533804] DEBUG: Frame 77 process time: 0.083481s
[17.642218] DEBUG: Frame 78 process time: 0.078196s
[17.749066] DEBUG: Frame 79 process time: 0.076626s
[17.859024] DEBUG: Frame 80 process time: 0.079732s
[18.811647] DEBUG: Frame 81 process time: 0.076615s
[18.989005] DEBUG: Frame 82 process time: 0.082752s
[19.099155] DEBUG: Frame 83 process time: 0.079696s
[19.205708] DEBUG: Frame 84 process time: 0.076328s
[19.318238] DEBUG: Frame 85 process time: 0.082312s
