[0.000485] INIT: Logger started :)
[0.000845] EVENT: Parameters parsed for blob detector
[0.001013] EVENT: Parameters parsed for math config
[0.001124] EVENT: Parameters parsed for color detection
[0.001207] EVENT: Parameters parsed for system config
[0.224865] EVENT: Camera Initialized Successfully
[0.759923] EVENT: Serial port /dev/ttyACM1 opened
[0.760244] EVENT: Starting Flight controller loop
[0.762275] EVENT: IMU serial port /dev/ttyACM0 opened
[0.762593] EVENT: IMU sensor data loop started
[1.875634] EVENT: Tracking loop started
[2.482189] DEBUG: Frame 0 process time: 0.606421s
[2.619613] DEBUG: Frame 1 process time: 0.075883s
[2.739790] DEBUG: Frame 2 process time: 0.075783s
[2.891279] DEBUG: Frame 3 process time: 0.075596s
[3.027384] DEBUG: Frame 4 process time: 0.075945s
[3.159601] DEBUG: Frame 5 process time: 0.075869s
[3.312885] DEBUG: Frame 6 process time: 0.076570s
[3.424519] DEBUG: Frame 7 process time: 0.076124s
[4.326969] DEBUG: Frame 8 process time: 0.079244s
[4.681069] DEBUG: Frame 9 process time: 0.076403s
[4.843354] DEBUG: Frame 10 process time: 0.083593s
[4.952495] DEBUG: Frame 11 process time: 0.078906s
[5.063201] DEBUG: Frame 12 process time: 0.079599s
[5.290070] DEBUG: Frame 13 process time: 0.078212s
[5.549779] DEBUG: Frame 14 process time: 0.077357s
[5.663056] DEBUG: Frame 15 process time: 0.082510s
[5.773413] DEBUG: Frame 16 process time: 0.080142s
[6.144967] DEBUG: Frame 17 process time: 0.077280s
[6.264229] DEBUG: Frame 18 process time: 0.076467s
[6.384855] DEBUG: Frame 19 process time: 0.077087s
[6.509615] DEBUG: Frame 20 process time: 0.077840s
[6.628580] DEBUG: Frame 21 process time: 0.076803s
[6.749247] DEBUG: Frame 22 process time: 0.077383s
[6.870648] DEBUG: Frame 23 process time: 0.078294s
[6.992947] DEBUG: Frame 24 process time: 0.076979s
[7.109150] DEBUG: Frame 25 process time: 0.077406s
[7.227622] DEBUG: Frame 26 process time: 0.075831s
[7.344591] DEBUG: Frame 27 process time: 0.076841s
[7.468589] DEBUG: Frame 28 process time: 0.076826s
[7.587798] DEBUG: Frame 29 process time: 0.077047s
[7.705105] DEBUG: Frame 30 process time: 0.077404s
[7.832603] DEBUG: Frame 31 process time: 0.076894s
[7.952745] DEBUG: Frame 32 process time: 0.076942s
[8.081681] DEBUG: Frame 33 process time: 0.077941s
[8.201094] DEBUG: Frame 34 process time: 0.077353s
[8.325992] DEBUG: Frame 35 process time: 0.082244s
[8.445501] DEBUG: Frame 36 process time: 0.077749s
[8.564185] DEBUG: Frame 37 process time: 0.076421s
[8.688417] DEBUG: Frame 38 process time: 0.076581s
[8.800117] DEBUG: Frame 39 process time: 0.080945s
[8.910111] DEBUG: Frame 40 process time: 0.079775s
[9.128830] DEBUG: Frame 41 process time: 0.076785s
[9.241606] DEBUG: Frame 42 process time: 0.082066s
[9.351044] DEBUG: Frame 43 process time: 0.079218s
[9.548093] DEBUG: Frame 44 process time: 0.080169s
[9.659323] DEBUG: Frame 45 process time: 0.080859s
[9.769041] DEBUG: Frame 46 process time: 0.079506s
[9.948704] DEBUG: Frame 47 process time: 0.076729s
[10.059637] DEBUG: Frame 48 process time: 0.080084s
[10.172981] DEBUG: Frame 49 process time: 0.079555s
[10.333019] DEBUG: Frame 50 process time: 0.076968s
[10.448331] DEBUG: Frame 51 process time: 0.084826s
[10.558006] DEBUG: Frame 52 process time: 0.079471s
[10.715760] DEBUG: Frame 53 process time: 0.075650s
[10.826706] DEBUG: Frame 54 process time: 0.080468s
[10.938697] DEBUG: Frame 55 process time: 0.081757s
[11.104449] DEBUG: Frame 56 process time: 0.076607s
[11.218746] DEBUG: Frame 57 process time: 0.083288s
[11.331761] DEBUG: Frame 58 process time: 0.082806s
[11.457522] DEBUG: Frame 59 process time: 0.077443s
[11.568815] DEBUG: Frame 60 process time: 0.080122s
[11.679348] DEBUG: Frame 61 process time: 0.080306s
[11.821573] DEBUG: Frame 62 process time: 0.077606s
[11.933855] DEBUG: Frame 63 process time: 0.081252s
