Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
2648484,0,0,0,0,0,0,-0.00349066,-0.898845,0.0994838,-0.00349066,-0.898845,0.0994838,318,285,3.84933,0.382318,0
3038419,0,0,0,0,0,0,-0,-1.06989,0.261799,0,-1.06989,0.261799,312,280,2.58107,0.599834,0
3304251,0,0,0,0,0,0,0.0122173,-1.24442,0.202458,0.0122173,-1.24442,0.202458,302,275,1.58566,0.114837,0
3599206,0,0,0,0,0,0,0.0191986,-1.04894,0.116937,0.0191986,-1.04894,0.116937,293,265,3.04215,0.0141694,0
3884882,0,0,0,0,0,0,-0,-0.804597,0.0872665,0,-0.804597,0.0872665,287,249,5.46822,-0.0306138,0
4159030,0,0,0,0,0,0,-0.0122173,-0.797615,0.164061,-0.0122173,-0.797615,0.164061,285,222,6.15735,0.428919,8.88178e-16
4465662,0,0,0,0,0,0,-0.0122173,-0.897099,0.298451,-0.0122173,-0.897099,0.298451,285,127,7.22805,1.5318,0
5393031,0,0,0,0,0,0,-0.00698132,-1.00182,0.286234,-0.00698132,-1.00182,0.286234,314,72,7.08471,1.96446,-8.88178e-16
5678893,0,0,0,0,0,0,-0,-1.29503,0.336849,0,-1.29503,0.336849,341,283,1.01237,0.631688,0
5918903,0,0,0,0,0,0,0.0191986,-1.27933,0.247837,0.0191986,-1.27933,0.247837,323,351,0.440978,0.137681,0
6283934,0,0,0,0,0,0,0.010472,-0.832522,0.0907571,0.010472,-0.832522,0.0907571,278,327,3.76678,-0.225533,0
6550944,0,0,0,0,0,0,-0.00349066,-0.7662,0.10821,-0.00349066,-0.7662,0.10821,268,207,7.01916,-0.174304,0
6808789,0,0,0,0,0,0,-0.010472,-0.764454,0.176278,-0.010472,-0.764454,0.176278,257,152,8.85619,0.235206,0
7176721,0,0,0,0,0,0,0.00698132,-0.787143,-0.0191986,0.00698132,-0.787143,-0.0191986,263,56,12.7665,-1.70222,0
7441480,0,0,0,0,0,0,0.010472,-0.778417,-0.0837758,0.010472,-0.778417,-0.0837758,306,111,10.1149,-1.10588,0
7699236,0,0,0,0,0,0,0.0191986,-0.893609,-0.00174533,0.0191986,-0.893609,-0.00174533,341,356,2.8264,0.264054,0
8043194,0,0,0,0,0,0,-0,-1.028,0.143117,0,-1.028,0.143117,318,370,1.73842,0.248148,0
8319606,0,0,0,0,0,0,0.00349066,-0.996583,0.256563,0.00349066,-0.996583,0.256563,320,372,1.8645,0.49871,0
