[0.003645] INIT: Logger started :)
[0.004003] EVENT: Parameters parsed for blob detector
[0.004170] EVENT: Parameters parsed for math config
[0.004282] EVENT: Parameters parsed for color detection
[0.004365] EVENT: Parameters parsed for system config
[0.226565] EVENT: Camera Initialized Successfully
[0.764652] EVENT: Serial port /dev/ttyACM1 opened
[0.765007] EVENT: Starting Flight controller loop
[0.765623] EVENT: IMU serial port /dev/ttyACM0 opened
[0.765861] EVENT: IMU sensor data loop started
[1.867797] EVENT: Tracking loop started
[2.438873] DEBUG: Frame 0 process time: 0.570844s
[2.564192] DEBUG: Frame 1 process time: 0.072498s
[2.676186] DEBUG: Frame 2 process time: 0.072523s
[2.820680] DEBUG: Frame 3 process time: 0.072966s
[2.953113] DEBUG: Frame 4 process time: 0.073421s
[3.089040] DEBUG: Frame 5 process time: 0.073345s
[3.253270] DEBUG: Frame 6 process time: 0.073242s
[3.755225] DEBUG: Frame 7 process time: 0.073368s
[3.901536] DEBUG: Frame 8 process time: 0.073810s
[4.031674] DEBUG: Frame 9 process time: 0.083769s
[4.213362] DEBUG: Frame 10 process time: 0.073365s
[4.328053] DEBUG: Frame 11 process time: 0.083947s
[4.545121] DEBUG: Frame 12 process time: 0.073457s
[4.656893] DEBUG: Frame 13 process time: 0.081110s
[4.841103] DEBUG: Frame 14 process time: 0.073321s
[4.965519] DEBUG: Frame 15 process time: 0.093849s
[5.125841] DEBUG: Frame 16 process time: 0.073556s
[7.801663] DEBUG: Frame 17 process time: 0.073982s
[7.920869] DEBUG: Frame 18 process time: 0.073124s
[8.038774] DEBUG: Frame 19 process time: 0.074400s
[8.153168] DEBUG: Frame 20 process time: 0.073411s
[8.276977] DEBUG: Frame 21 process time: 0.072842s
[8.390795] DEBUG: Frame 22 process time: 0.075023s
[8.515408] DEBUG: Frame 23 process time: 0.075203s
[8.636097] DEBUG: Frame 24 process time: 0.076332s
[8.755696] DEBUG: Frame 25 process time: 0.075964s
[8.879985] DEBUG: Frame 26 process time: 0.075883s
[8.996145] DEBUG: Frame 27 process time: 0.076255s
[9.118064] DEBUG: Frame 28 process time: 0.073918s
[9.245502] DEBUG: Frame 29 process time: 0.081776s
[9.363871] DEBUG: Frame 30 process time: 0.075937s
[9.488723] DEBUG: Frame 31 process time: 0.076584s
[9.608346] DEBUG: Frame 32 process time: 0.076459s
[9.736845] DEBUG: Frame 33 process time: 0.077068s
[9.856543] DEBUG: Frame 34 process time: 0.076784s
[9.976101] DEBUG: Frame 35 process time: 0.076320s
[10.092424] DEBUG: Frame 36 process time: 0.076563s
[10.211069] DEBUG: Frame 37 process time: 0.075219s
[10.328570] DEBUG: Frame 38 process time: 0.076774s
[10.444348] DEBUG: Frame 39 process time: 0.076582s
[10.564451] DEBUG: Frame 40 process time: 0.076206s
[10.688588] DEBUG: Frame 41 process time: 0.076871s
[10.808525] DEBUG: Frame 42 process time: 0.076395s
[10.924151] DEBUG: Frame 43 process time: 0.076329s
[11.049368] DEBUG: Frame 44 process time: 0.094366s
[11.172004] DEBUG: Frame 45 process time: 0.092327s
[11.289442] DEBUG: Frame 46 process time: 0.086533s
[11.462761] DEBUG: Frame 47 process time: 0.074780s
[11.574784] DEBUG: Frame 48 process time: 0.081686s
[11.685670] DEBUG: Frame 49 process time: 0.080656s
