[0.000442] INIT: Logger started :)
[0.000781] EVENT: Parameters parsed for blob detector
[0.000948] EVENT: Parameters parsed for math config
[0.001059] EVENT: Parameters parsed for color detection
[0.001140] EVENT: Parameters parsed for system config
[0.212246] EVENT: Camera Initialized Successfully
[1.239366] EVENT: Serial port /dev/serial0 opened
[1.239696] EVENT: Starting Flight controller loop
[1.241206] EVENT: IMU serial port /dev/ttyACM0 opened
[1.241516] EVENT: IMU sensor data loop started
[3.099570] EVENT: Tracking loop started
[3.680152] DEBUG: Frame 0 process time: 0.580453s
[3.794910] DEBUG: Frame 1 process time: 0.075657s
[3.943172] DEBUG: Frame 2 process time: 0.075279s
[4.350278] DEBUG: Frame 3 process time: 0.078642s
[4.494761] DEBUG: Frame 4 process time: 0.075688s
[4.635454] DEBUG: Frame 5 process time: 0.075788s
[4.811107] DEBUG: Frame 6 process time: 0.079839s
[6.222864] DEBUG: Frame 7 process time: 0.076125s
[6.386303] DEBUG: Frame 8 process time: 0.099168s
[6.517248] DEBUG: Frame 9 process time: 0.100655s
[6.628469] DEBUG: Frame 10 process time: 0.080987s
[6.959201] DEBUG: Frame 11 process time: 0.076202s
[7.084385] DEBUG: Frame 12 process time: 0.094509s
[7.204801] DEBUG: Frame 13 process time: 0.090171s
[7.313861] DEBUG: Frame 14 process time: 0.078845s
[7.711326] DEBUG: Frame 15 process time: 0.076298s
[7.821609] DEBUG: Frame 16 process time: 0.080007s
[7.932013] DEBUG: Frame 17 process time: 0.080193s
[8.042353] DEBUG: Frame 18 process time: 0.080106s
[8.399581] DEBUG: Frame 19 process time: 0.077589s
[8.507279] DEBUG: Frame 20 process time: 0.077357s
[8.617107] DEBUG: Frame 21 process time: 0.079514s
[8.725024] DEBUG: Frame 22 process time: 0.077633s
[9.041935] DEBUG: Frame 23 process time: 0.075209s
[9.152933] DEBUG: Frame 24 process time: 0.080009s
[9.260587] DEBUG: Frame 25 process time: 0.077434s
[9.373616] DEBUG: Frame 26 process time: 0.082808s
[9.750051] DEBUG: Frame 27 process time: 0.076570s
[9.866384] DEBUG: Frame 28 process time: 0.085770s
[9.975315] DEBUG: Frame 29 process time: 0.078704s
[10.081161] DEBUG: Frame 30 process time: 0.075626s
[10.189764] DEBUG: Frame 31 process time: 0.078390s
[10.571479] DEBUG: Frame 32 process time: 0.075710s
[10.681592] DEBUG: Frame 33 process time: 0.079386s
[10.789595] DEBUG: Frame 34 process time: 0.077791s
[10.900702] DEBUG: Frame 35 process time: 0.080891s
[11.317669] DEBUG: Frame 36 process time: 0.074935s
[11.431579] DEBUG: Frame 37 process time: 0.080442s
[11.541506] DEBUG: Frame 38 process time: 0.079702s
[11.649239] DEBUG: Frame 39 process time: 0.077517s
[12.038171] DEBUG: Frame 40 process time: 0.075992s
[12.147908] DEBUG: Frame 41 process time: 0.079032s
[12.259117] DEBUG: Frame 42 process time: 0.081002s
[12.372178] DEBUG: Frame 43 process time: 0.082845s
[12.715488] DEBUG: Frame 44 process time: 0.075867s
[12.830852] DEBUG: Frame 45 process time: 0.084977s
[12.941343] DEBUG: Frame 46 process time: 0.080264s
[13.053042] DEBUG: Frame 47 process time: 0.081474s
[13.401839] DEBUG: Frame 48 process time: 0.080218s
[13.512486] DEBUG: Frame 49 process time: 0.079448s
[13.620455] DEBUG: Frame 50 process time: 0.077744s
[13.730875] DEBUG: Frame 51 process time: 0.080191s
[14.089475] DEBUG: Frame 52 process time: 0.075894s
[14.200020] DEBUG: Frame 53 process time: 0.079993s
[14.308669] DEBUG: Frame 54 process time: 0.078453s
[14.417637] DEBUG: Frame 55 process time: 0.078753s
[14.763690] DEBUG: Frame 56 process time: 0.076326s
[14.874782] DEBUG: Frame 57 process time: 0.080019s
[14.984986] DEBUG: Frame 58 process time: 0.079985s
[15.094398] DEBUG: Frame 59 process time: 0.079190s
[15.397194] DEBUG: Frame 60 process time: 0.079815s
[15.507930] DEBUG: Frame 61 process time: 0.080108s
[15.617551] DEBUG: Frame 62 process time: 0.079391s
[15.727366] DEBUG: Frame 63 process time: 0.079584s
[16.021508] DEBUG: Frame 64 process time: 0.075983s
[16.130926] DEBUG: Frame 65 process time: 0.078253s
[16.240455] DEBUG: Frame 66 process time: 0.079307s
[16.353076] DEBUG: Frame 67 process time: 0.082404s
[16.789451] DEBUG: Frame 68 process time: 0.075801s
[16.900894] DEBUG: Frame 69 process time: 0.080139s
[17.010822] DEBUG: Frame 70 process time: 0.079643s
[17.119746] DEBUG: Frame 71 process time: 0.078655s
[17.453194] DEBUG: Frame 72 process time: 0.075775s
[17.564037] DEBUG: Frame 73 process time: 0.079791s
[17.674119] DEBUG: Frame 74 process time: 0.079869s
[17.785046] DEBUG: Frame 75 process time: 0.080707s
[18.065436] DEBUG: Frame 76 process time: 0.076503s
[18.175421] DEBUG: Frame 77 process time: 0.078958s
[18.288756] DEBUG: Frame 78 process time: 0.083120s
[18.400660] DEBUG: Frame 79 process time: 0.081684s
[18.641418] DEBUG: Frame 80 process time: 0.076434s
[18.751292] DEBUG: Frame 81 process time: 0.079630s
[18.858495] DEBUG: Frame 82 process time: 0.076942s
[18.966907] DEBUG: Frame 83 process time: 0.078114s
[19.288744] DEBUG: Frame 84 process time: 0.075955s
[19.402506] DEBUG: Frame 85 process time: 0.083434s
[19.511992] DEBUG: Frame 86 process time: 0.079266s
[19.619911] DEBUG: Frame 87 process time: 0.077690s
[19.847294] DEBUG: Frame 88 process time: 0.079072s
[19.956548] DEBUG: Frame 89 process time: 0.078227s
[20.064419] DEBUG: Frame 90 process time: 0.077665s
[20.172049] DEBUG: Frame 91 process time: 0.077403s
[20.281931] DEBUG: Frame 92 process time: 0.079657s
[20.490504] DEBUG: Frame 93 process time: 0.076032s
[20.602005] DEBUG: Frame 94 process time: 0.080293s
[20.712843] DEBUG: Frame 95 process time: 0.080626s
[20.826339] DEBUG: Frame 96 process time: 0.083277s
[21.096519] DEBUG: Frame 97 process time: 0.076035s
[21.208717] DEBUG: Frame 98 process time: 0.081096s
[21.317626] DEBUG: Frame 99 process time: 0.078701s
[21.348035] EVENT: Calculated point:     4.41837     1.75658 4.82706e-17
[21.348090] CLOSE: Closing Logger :)
