[0.000604] INIT: Logger started :)
[0.000949] EVENT: Parameters parsed for blob detector
[0.001126] EVENT: Parameters parsed for math config
[0.001238] EVENT: Parameters parsed for color detection
[0.001320] EVENT: Parameters parsed for system config
[0.215913] EVENT: Camera Initialized Successfully
[1.208142] EVENT: Serial port /dev/serial0 opened
[1.208469] EVENT: Starting Flight controller loop
[1.210909] EVENT: IMU serial port /dev/ttyACM0 opened
[1.211235] EVENT: IMU sensor data loop started
[3.891255] EVENT: Tracking loop started
[4.448046] DEBUG: Frame 0 process time: 0.556384s
[4.567644] DEBUG: Frame 1 process time: 0.072830s
[4.681817] DEBUG: Frame 2 process time: 0.074625s
[4.828209] DEBUG: Frame 3 process time: 0.073085s
[4.964533] DEBUG: Frame 4 process time: 0.073403s
[5.096471] DEBUG: Frame 5 process time: 0.073848s
[6.118919] DEBUG: Frame 6 process time: 0.075381s
[6.633893] DEBUG: Frame 7 process time: 0.073259s
[6.814304] DEBUG: Frame 8 process time: 0.079075s
[6.921143] DEBUG: Frame 9 process time: 0.076476s
[7.031308] DEBUG: Frame 10 process time: 0.079475s
[7.140920] DEBUG: Frame 11 process time: 0.079249s
[7.271557] DEBUG: Frame 12 process time: 0.077017s
[7.397315] DEBUG: Frame 13 process time: 0.094925s
[7.565893] DEBUG: Frame 14 process time: 0.075306s
[7.677241] DEBUG: Frame 15 process time: 0.080223s
[7.786597] DEBUG: Frame 16 process time: 0.078779s
[7.901945] DEBUG: Frame 17 process time: 0.084150s
[8.083130] DEBUG: Frame 18 process time: 0.075271s
[8.195803] DEBUG: Frame 19 process time: 0.082041s
[8.383233] DEBUG: Frame 20 process time: 0.076149s
[8.509977] DEBUG: Frame 21 process time: 0.075723s
[8.867869] DEBUG: Frame 22 process time: 0.073421s
[9.190073] DEBUG: Frame 23 process time: 0.075815s
[9.306722] DEBUG: Frame 24 process time: 0.085957s
[9.416216] DEBUG: Frame 25 process time: 0.079283s
[9.547317] DEBUG: Frame 26 process time: 0.092963s
[9.722704] DEBUG: Frame 27 process time: 0.075525s
[9.834605] DEBUG: Frame 28 process time: 0.080719s
[9.944651] DEBUG: Frame 29 process time: 0.079833s
[10.064324] DEBUG: Frame 30 process time: 0.082105s
[10.996014] DEBUG: Frame 31 process time: 0.081762s
[11.105350] DEBUG: Frame 32 process time: 0.078991s
[11.236664] DEBUG: Frame 33 process time: 0.096335s
[11.402703] DEBUG: Frame 34 process time: 0.076758s
[11.517619] DEBUG: Frame 35 process time: 0.084274s
[11.685262] DEBUG: Frame 36 process time: 0.075345s
[11.794863] DEBUG: Frame 37 process time: 0.078452s
[11.903202] DEBUG: Frame 38 process time: 0.078044s
[12.007510] DEBUG: Frame 39 process time: 0.073739s
[12.120555] DEBUG: Frame 40 process time: 0.082235s
[12.283597] DEBUG: Frame 41 process time: 0.073718s
[12.395818] DEBUG: Frame 42 process time: 0.081638s
[12.503622] DEBUG: Frame 43 process time: 0.077543s
[12.612139] DEBUG: Frame 44 process time: 0.078016s
[12.731059] DEBUG: Frame 45 process time: 0.073363s
[12.843808] DEBUG: Frame 46 process time: 0.081951s
[13.014352] DEBUG: Frame 47 process time: 0.076561s
[13.131324] DEBUG: Frame 48 process time: 0.086394s
[13.240115] DEBUG: Frame 49 process time: 0.078500s
[13.355809] DEBUG: Frame 50 process time: 0.082096s
[13.547355] DEBUG: Frame 51 process time: 0.074348s
[13.656207] DEBUG: Frame 52 process time: 0.077943s
[13.825933] DEBUG: Frame 53 process time: 0.076170s
[13.943758] DEBUG: Frame 54 process time: 0.086973s
[14.051515] DEBUG: Frame 55 process time: 0.077442s
[14.164950] DEBUG: Frame 56 process time: 0.083077s
[14.275725] DEBUG: Frame 57 process time: 0.080420s
[14.489313] DEBUG: Frame 58 process time: 0.075897s
[14.604486] DEBUG: Frame 59 process time: 0.083910s
[14.711604] DEBUG: Frame 60 process time: 0.076815s
[14.815673] DEBUG: Frame 61 process time: 0.073755s
[14.921695] DEBUG: Frame 62 process time: 0.075693s
[15.237717] DEBUG: Frame 63 process time: 0.074067s
[15.343880] DEBUG: Frame 64 process time: 0.075250s
[15.449711] DEBUG: Frame 65 process time: 0.075516s
[15.558089] DEBUG: Frame 66 process time: 0.078080s
[15.966916] DEBUG: Frame 67 process time: 0.073754s
[16.074957] DEBUG: Frame 68 process time: 0.077304s
[16.181373] DEBUG: Frame 69 process time: 0.076198s
[16.292717] DEBUG: Frame 70 process time: 0.081087s
[16.399082] DEBUG: Frame 71 process time: 0.076151s
[16.505496] DEBUG: Frame 72 process time: 0.076196s
[16.612248] DEBUG: Frame 73 process time: 0.076543s
[16.957724] DEBUG: Frame 74 process time: 0.076090s
[17.129551] DEBUG: Frame 75 process time: 0.076076s
[17.241387] DEBUG: Frame 76 process time: 0.080911s
[17.348039] DEBUG: Frame 77 process time: 0.076434s
[17.456237] DEBUG: Frame 78 process time: 0.077987s
[17.564402] DEBUG: Frame 79 process time: 0.077957s
[17.675017] DEBUG: Frame 80 process time: 0.080361s
[17.871566] DEBUG: Frame 81 process time: 0.074523s
[18.004791] DEBUG: Frame 82 process time: 0.075616s
[18.114451] DEBUG: Frame 83 process time: 0.078922s
[18.220057] DEBUG: Frame 84 process time: 0.075397s
[18.327617] DEBUG: Frame 85 process time: 0.077326s
[18.435834] DEBUG: Frame 86 process time: 0.078008s
[18.541222] DEBUG: Frame 87 process time: 0.075167s
[18.647802] DEBUG: Frame 88 process time: 0.076361s
[18.754671] DEBUG: Frame 89 process time: 0.076654s
[18.872418] DEBUG: Frame 90 process time: 0.075505s
[18.983417] DEBUG: Frame 91 process time: 0.080263s
[19.092720] DEBUG: Frame 92 process time: 0.079089s
[19.321925] DEBUG: Frame 93 process time: 0.076684s
[19.434705] DEBUG: Frame 94 process time: 0.081663s
[19.545684] DEBUG: Frame 95 process time: 0.080773s
[19.663077] DEBUG: Frame 96 process time: 0.087123s
[19.900318] DEBUG: Frame 97 process time: 0.076783s
[20.234733] DEBUG: Frame 98 process time: 0.079614s
[20.503419] DEBUG: Frame 99 process time: 0.082942s
[20.539233] EVENT: Calculated point:     2.935 -0.602593         0
[20.539287] CLOSE: Closing Logger :)
