[0.000456] INIT: Logger started :)
[0.000816] EVENT: Parameters parsed for blob detector
[0.000980] EVENT: Parameters parsed for math config
[0.001090] EVENT: Parameters parsed for color detection
[0.001172] EVENT: Parameters parsed for system config
[0.221963] EVENT: Camera Initialized Successfully
[0.752206] EVENT: Serial port /dev/ttyACM1 opened
[0.752530] EVENT: Starting Flight controller loop
[0.753690] EVENT: IMU serial port /dev/ttyACM0 opened
[0.753958] EVENT: IMU sensor data loop started
[1.814733] EVENT: Tracking loop started
[2.669579] DEBUG: Frame 0 process time: 0.854699s
[2.804576] DEBUG: Frame 1 process time: 0.074135s
[2.922261] DEBUG: Frame 2 process time: 0.075383s
[3.074043] DEBUG: Frame 3 process time: 0.075312s
[3.206293] DEBUG: Frame 4 process time: 0.075229s
[3.332951] DEBUG: Frame 5 process time: 0.074599s
[3.487731] DEBUG: Frame 6 process time: 0.076210s
[4.125211] DEBUG: Frame 7 process time: 0.074744s
[4.252399] DEBUG: Frame 8 process time: 0.081969s
[4.361750] DEBUG: Frame 9 process time: 0.079054s
[4.488319] DEBUG: Frame 10 process time: 0.076730s
[4.601455] DEBUG: Frame 11 process time: 0.082335s
[4.713109] DEBUG: Frame 12 process time: 0.081431s
[4.825704] DEBUG: Frame 13 process time: 0.075048s
[4.937760] DEBUG: Frame 14 process time: 0.081614s
[5.046005] DEBUG: Frame 15 process time: 0.077970s
[5.167482] DEBUG: Frame 16 process time: 0.076475s
[5.281626] DEBUG: Frame 17 process time: 0.083619s
[5.391089] DEBUG: Frame 18 process time: 0.079237s
[5.502817] DEBUG: Frame 19 process time: 0.076055s
[5.614834] DEBUG: Frame 20 process time: 0.081692s
[5.724453] DEBUG: Frame 21 process time: 0.079400s
[5.847888] DEBUG: Frame 22 process time: 0.085338s
[5.958239] DEBUG: Frame 23 process time: 0.079997s
[6.070729] DEBUG: Frame 24 process time: 0.081312s
[6.185530] DEBUG: Frame 25 process time: 0.083651s
[6.325993] DEBUG: Frame 26 process time: 0.075350s
[6.438395] DEBUG: Frame 27 process time: 0.081388s
[6.547686] DEBUG: Frame 28 process time: 0.078317s
[6.659270] DEBUG: Frame 29 process time: 0.081248s
[6.769764] DEBUG: Frame 30 process time: 0.079864s
[6.890539] DEBUG: Frame 31 process time: 0.075854s
[7.014260] DEBUG: Frame 32 process time: 0.075754s
[7.458705] DEBUG: Frame 33 process time: 0.076157s
[7.833481] DEBUG: Frame 34 process time: 0.074975s
[7.946182] DEBUG: Frame 35 process time: 0.082168s
[8.055646] DEBUG: Frame 36 process time: 0.079224s
[8.172751] DEBUG: Frame 37 process time: 0.085892s
[8.283226] DEBUG: Frame 38 process time: 0.080179s
[8.395948] DEBUG: Frame 39 process time: 0.082143s
[8.507057] DEBUG: Frame 40 process time: 0.075711s
[8.618306] DEBUG: Frame 41 process time: 0.080580s
[8.814040] DEBUG: Frame 42 process time: 0.075350s
[8.929814] DEBUG: Frame 43 process time: 0.084799s
[9.039847] DEBUG: Frame 44 process time: 0.079809s
[9.145922] DEBUG: Frame 45 process time: 0.075363s
[9.257809] DEBUG: Frame 46 process time: 0.081543s
[9.366819] DEBUG: Frame 47 process time: 0.078783s
[9.481283] DEBUG: Frame 48 process time: 0.082663s
[9.590939] DEBUG: Frame 49 process time: 0.079449s
[9.798037] DEBUG: Frame 50 process time: 0.075407s
[9.913707] DEBUG: Frame 51 process time: 0.084477s
[10.081932] DEBUG: Frame 52 process time: 0.075348s
[10.194037] DEBUG: Frame 53 process time: 0.080924s
[10.303482] DEBUG: Frame 54 process time: 0.079218s
[10.425617] DEBUG: Frame 55 process time: 0.086860s
[10.602428] DEBUG: Frame 56 process time: 0.075551s
[10.715461] DEBUG: Frame 57 process time: 0.081874s
[10.902585] DEBUG: Frame 58 process time: 0.076012s
[11.013223] DEBUG: Frame 59 process time: 0.079817s
[11.122823] DEBUG: Frame 60 process time: 0.079367s
[11.238126] DEBUG: Frame 61 process time: 0.083131s
[11.421885] DEBUG: Frame 62 process time: 0.075181s
[11.536612] DEBUG: Frame 63 process time: 0.084299s
[11.709802] DEBUG: Frame 64 process time: 0.075336s
[11.828696] DEBUG: Frame 65 process time: 0.087753s
[11.938691] DEBUG: Frame 66 process time: 0.079765s
[12.052088] DEBUG: Frame 67 process time: 0.082862s
[12.230183] DEBUG: Frame 68 process time: 0.075536s
[12.342420] DEBUG: Frame 69 process time: 0.081389s
[12.451569] DEBUG: Frame 70 process time: 0.078901s
[12.645824] DEBUG: Frame 71 process time: 0.075450s
[12.774833] DEBUG: Frame 72 process time: 0.095157s
[12.885903] DEBUG: Frame 73 process time: 0.080808s
[13.003509] DEBUG: Frame 74 process time: 0.084648s
[13.114282] DEBUG: Frame 75 process time: 0.080527s
[13.229670] DEBUG: Frame 76 process time: 0.075050s
[13.518485] DEBUG: Frame 77 process time: 0.075853s
[13.636442] DEBUG: Frame 78 process time: 0.087349s
[13.745770] DEBUG: Frame 79 process time: 0.079096s
[13.864939] DEBUG: Frame 80 process time: 0.085997s
[13.973396] DEBUG: Frame 81 process time: 0.078154s
[14.090239] DEBUG: Frame 82 process time: 0.083276s
[14.199917] DEBUG: Frame 83 process time: 0.079384s
[14.309577] DEBUG: Frame 84 process time: 0.074971s
[14.421283] DEBUG: Frame 85 process time: 0.081292s
[14.529655] DEBUG: Frame 86 process time: 0.078094s
[14.644900] DEBUG: Frame 87 process time: 0.083950s
[14.761574] DEBUG: Frame 88 process time: 0.085755s
[14.870931] DEBUG: Frame 89 process time: 0.076177s
[14.987641] DEBUG: Frame 90 process time: 0.085940s
[15.097377] DEBUG: Frame 91 process time: 0.079512s
[15.294238] DEBUG: Frame 92 process time: 0.075580s
[15.417628] DEBUG: Frame 93 process time: 0.092565s
[15.531476] DEBUG: Frame 94 process time: 0.083612s
[15.643397] DEBUG: Frame 95 process time: 0.081390s
[15.758447] DEBUG: Frame 96 process time: 0.084676s
[15.958209] DEBUG: Frame 97 process time: 0.075459s
[16.079458] DEBUG: Frame 98 process time: 0.090181s
[16.250628] DEBUG: Frame 99 process time: 0.075819s
[16.281209] EVENT: Calculated point:  3.62566 0.284622        0
[16.281263] CLOSE: Closing Logger :)
