[0.611065] INIT: Logger started :)
[0.611420] EVENT: Parameters parsed for blob detector
[0.611586] EVENT: Parameters parsed for math config
[0.611697] EVENT: Parameters parsed for color detection
[0.611778] EVENT: Parameters parsed for system config
[0.822517] EVENT: Camera Initialized Successfully
[1.703397] EVENT: Serial port /dev/serial0 opened
[1.703726] EVENT: Starting Flight controller loop
[1.704551] EVENT: IMU serial port /dev/ttyACM0 opened
[1.704860] EVENT: IMU sensor data loop started
[3.507589] EVENT: Tracking loop started
[4.189621] DEBUG: Frame 0 process time: 0.681880s
[4.358680] DEBUG: Frame 1 process time: 0.076146s
[4.636023] DEBUG: Frame 2 process time: 0.076265s
[4.981484] DEBUG: Frame 3 process time: 0.075747s
[5.333555] DEBUG: Frame 4 process time: 0.080813s
[5.523924] DEBUG: Frame 5 process time: 0.075923s
[5.876357] DEBUG: Frame 6 process time: 0.076296s
[6.232797] DEBUG: Frame 7 process time: 0.076395s
[6.341202] DEBUG: Frame 8 process time: 0.076543s
[8.255030] DEBUG: Frame 9 process time: 0.076901s
[8.434432] DEBUG: Frame 10 process time: 0.077045s
[8.647652] DEBUG: Frame 11 process time: 0.095031s
[8.769702] DEBUG: Frame 12 process time: 0.091684s
[8.899471] DEBUG: Frame 13 process time: 0.099497s
[9.012977] DEBUG: Frame 14 process time: 0.083152s
[9.406218] DEBUG: Frame 15 process time: 0.076695s
[9.529790] DEBUG: Frame 16 process time: 0.092352s
[9.649192] DEBUG: Frame 17 process time: 0.089157s
[9.757589] DEBUG: Frame 18 process time: 0.078180s
[10.120104] DEBUG: Frame 19 process time: 0.075131s
[10.232387] DEBUG: Frame 20 process time: 0.080989s
[10.347120] DEBUG: Frame 21 process time: 0.084509s
[10.458057] DEBUG: Frame 22 process time: 0.080722s
[10.756676] DEBUG: Frame 23 process time: 0.075546s
[10.868319] DEBUG: Frame 24 process time: 0.080950s
[10.979051] DEBUG: Frame 25 process time: 0.080511s
[11.088718] DEBUG: Frame 26 process time: 0.079444s
[11.365702] DEBUG: Frame 27 process time: 0.076208s
[11.473811] DEBUG: Frame 28 process time: 0.077315s
[11.582996] DEBUG: Frame 29 process time: 0.078924s
[11.689783] DEBUG: Frame 30 process time: 0.076550s
[11.799380] DEBUG: Frame 31 process time: 0.079372s
[12.129533] DEBUG: Frame 32 process time: 0.076402s
[12.241589] DEBUG: Frame 33 process time: 0.080922s
[12.351697] DEBUG: Frame 34 process time: 0.079893s
[12.470555] DEBUG: Frame 35 process time: 0.088638s
[12.579909] DEBUG: Frame 36 process time: 0.079137s
[12.867648] DEBUG: Frame 37 process time: 0.077170s
[12.978380] DEBUG: Frame 38 process time: 0.079930s
[13.089254] DEBUG: Frame 39 process time: 0.080648s
[13.199876] DEBUG: Frame 40 process time: 0.080399s
[13.571472] DEBUG: Frame 41 process time: 0.077541s
[13.685350] DEBUG: Frame 42 process time: 0.083175s
[13.797318] DEBUG: Frame 43 process time: 0.081168s
[13.914342] DEBUG: Frame 44 process time: 0.086590s
[14.195567] DEBUG: Frame 45 process time: 0.077048s
[14.356573] DEBUG: Frame 46 process time: 0.081923s
[14.466419] DEBUG: Frame 47 process time: 0.078665s
[15.055144] DEBUG: Frame 48 process time: 0.077231s
[15.207829] DEBUG: Frame 49 process time: 0.077857s
[15.902364] DEBUG: Frame 50 process time: 0.079626s
[16.568116] DEBUG: Frame 51 process time: 0.077401s
[16.678855] DEBUG: Frame 52 process time: 0.080251s
[16.790737] DEBUG: Frame 53 process time: 0.081662s
[16.900174] DEBUG: Frame 54 process time: 0.079215s
[17.243159] DEBUG: Frame 55 process time: 0.076793s
[17.356345] DEBUG: Frame 56 process time: 0.082049s
[17.467033] DEBUG: Frame 57 process time: 0.080466s
[17.576644] DEBUG: Frame 58 process time: 0.079403s
[17.904229] DEBUG: Frame 59 process time: 0.076863s
[18.016618] DEBUG: Frame 60 process time: 0.081753s
[18.125967] DEBUG: Frame 61 process time: 0.079098s
[18.235388] DEBUG: Frame 62 process time: 0.079191s
[18.607675] DEBUG: Frame 63 process time: 0.076521s
[18.717145] DEBUG: Frame 64 process time: 0.078348s
[18.830979] DEBUG: Frame 65 process time: 0.083609s
[18.943868] DEBUG: Frame 66 process time: 0.082658s
[19.260084] DEBUG: Frame 67 process time: 0.077050s
[19.368968] DEBUG: Frame 68 process time: 0.078384s
[19.480075] DEBUG: Frame 69 process time: 0.080864s
[19.590700] DEBUG: Frame 70 process time: 0.080407s
[19.916703] DEBUG: Frame 71 process time: 0.077076s
[20.028640] DEBUG: Frame 72 process time: 0.081133s
[20.140044] DEBUG: Frame 73 process time: 0.081175s
[20.251489] DEBUG: Frame 74 process time: 0.081221s
[20.545025] DEBUG: Frame 75 process time: 0.076653s
[20.656233] DEBUG: Frame 76 process time: 0.080162s
[20.767695] DEBUG: Frame 77 process time: 0.081188s
[20.887156] DEBUG: Frame 78 process time: 0.089188s
[21.204531] DEBUG: Frame 79 process time: 0.076765s
[21.322070] DEBUG: Frame 80 process time: 0.082765s
[21.433304] DEBUG: Frame 81 process time: 0.081019s
[21.545497] DEBUG: Frame 82 process time: 0.081975s
[21.870916] DEBUG: Frame 83 process time: 0.079109s
[21.995646] DEBUG: Frame 84 process time: 0.084234s
[22.105353] DEBUG: Frame 85 process time: 0.079493s
[22.216571] DEBUG: Frame 86 process time: 0.081009s
[22.549901] DEBUG: Frame 87 process time: 0.078136s
[22.660774] DEBUG: Frame 88 process time: 0.080482s
[22.772575] DEBUG: Frame 89 process time: 0.081529s
[22.883051] DEBUG: Frame 90 process time: 0.080251s
[22.994106] DEBUG: Frame 91 process time: 0.080824s
[23.615489] DEBUG: Frame 92 process time: 0.077177s
[23.726978] DEBUG: Frame 93 process time: 0.080561s
[23.841128] DEBUG: Frame 94 process time: 0.083918s
[23.953997] DEBUG: Frame 95 process time: 0.082650s
[24.064897] DEBUG: Frame 96 process time: 0.080620s
[24.383958] DEBUG: Frame 97 process time: 0.078850s
[24.495859] DEBUG: Frame 98 process time: 0.080693s
[24.606714] DEBUG: Frame 99 process time: 0.080564s
[24.637159] EVENT: Calculated point: 3.65897 1.14175       0
[24.637205] CLOSE: Closing Logger :)
