[0.000605] INIT: Logger started :)
[0.000943] EVENT: Parameters parsed for blob detector
[0.001107] EVENT: Parameters parsed for math config
[0.001216] EVENT: Parameters parsed for color detection
[0.001298] EVENT: Parameters parsed for system config
[0.221904] EVENT: Camera Initialized Successfully
[0.692688] EVENT: Serial port /dev/ttyACM1 opened
[0.693012] EVENT: Starting Flight controller loop
[0.694414] EVENT: IMU serial port /dev/ttyACM0 opened
[0.694622] EVENT: IMU sensor data loop started
[1.754612] EVENT: Tracking loop started
[2.318863] DEBUG: Frame 0 process time: 0.563805s
[2.438427] DEBUG: Frame 1 process time: 0.072711s
[2.551736] DEBUG: Frame 2 process time: 0.073801s
[2.698856] DEBUG: Frame 3 process time: 0.073132s
[2.815145] DEBUG: Frame 4 process time: 0.073418s
[2.947966] DEBUG: Frame 5 process time: 0.074229s
[3.090050] DEBUG: Frame 6 process time: 0.074111s
[3.199492] DEBUG: Frame 7 process time: 0.073500s
[3.699461] DEBUG: Frame 8 process time: 0.073621s
[3.890628] DEBUG: Frame 9 process time: 0.093880s
[4.028581] DEBUG: Frame 10 process time: 0.073844s
[4.152974] DEBUG: Frame 11 process time: 0.093729s
[4.266926] DEBUG: Frame 12 process time: 0.083563s
[4.395434] DEBUG: Frame 13 process time: 0.073473s
[4.510457] DEBUG: Frame 14 process time: 0.084287s
[4.623356] DEBUG: Frame 15 process time: 0.082582s
[4.739029] DEBUG: Frame 16 process time: 0.084665s
[4.854600] DEBUG: Frame 17 process time: 0.084898s
[4.968488] DEBUG: Frame 18 process time: 0.082965s
[5.087346] DEBUG: Frame 19 process time: 0.084516s
[5.201568] DEBUG: Frame 20 process time: 0.083281s
[5.318962] DEBUG: Frame 21 process time: 0.086771s
[5.500415] DEBUG: Frame 22 process time: 0.074406s
[5.615694] DEBUG: Frame 23 process time: 0.073630s
[5.996456] DEBUG: Frame 24 process time: 0.074683s
[6.129891] DEBUG: Frame 25 process time: 0.087009s
[6.300318] DEBUG: Frame 26 process time: 0.074240s
[6.428406] DEBUG: Frame 27 process time: 0.096838s
[6.539868] DEBUG: Frame 28 process time: 0.081166s
[6.657127] DEBUG: Frame 29 process time: 0.085949s
[8.346070] DEBUG: Frame 30 process time: 0.085457s
[8.458774] DEBUG: Frame 31 process time: 0.082398s
[8.678508] DEBUG: Frame 32 process time: 0.075750s
[8.797552] DEBUG: Frame 33 process time: 0.088565s
[8.969460] DEBUG: Frame 34 process time: 0.074518s
[9.085588] DEBUG: Frame 35 process time: 0.085604s
[9.264943] DEBUG: Frame 36 process time: 0.074413s
[9.411967] DEBUG: Frame 37 process time: 0.073566s
[9.768262] DEBUG: Frame 38 process time: 0.073426s
[9.923215] DEBUG: Frame 39 process time: 0.097705s
[10.095213] DEBUG: Frame 40 process time: 0.076201s
[10.225521] DEBUG: Frame 41 process time: 0.099673s
[10.381643] DEBUG: Frame 42 process time: 0.074470s
[10.496548] DEBUG: Frame 43 process time: 0.084283s
[10.613230] DEBUG: Frame 44 process time: 0.085764s
[10.818922] DEBUG: Frame 45 process time: 0.075954s
[10.932196] DEBUG: Frame 46 process time: 0.073530s
[11.047702] DEBUG: Frame 47 process time: 0.073120s
[11.167008] DEBUG: Frame 48 process time: 0.075281s
[11.295180] DEBUG: Frame 49 process time: 0.076487s
[11.408623] DEBUG: Frame 50 process time: 0.073980s
[11.523792] DEBUG: Frame 51 process time: 0.073187s
[11.640252] DEBUG: Frame 52 process time: 0.075257s
[11.761867] DEBUG: Frame 53 process time: 0.075059s
[15.175985] DEBUG: Frame 54 process time: 0.073446s
[15.290725] DEBUG: Frame 55 process time: 0.072979s
[15.409814] DEBUG: Frame 56 process time: 0.073308s
[15.522236] DEBUG: Frame 57 process time: 0.073670s
[15.638815] DEBUG: Frame 58 process time: 0.073423s
[15.758358] DEBUG: Frame 59 process time: 0.073809s
[15.879615] DEBUG: Frame 60 process time: 0.073677s
[15.995628] DEBUG: Frame 61 process time: 0.073341s
[16.109917] DEBUG: Frame 62 process time: 0.073322s
[16.223725] DEBUG: Frame 63 process time: 0.073299s
[16.338229] DEBUG: Frame 64 process time: 0.073561s
[16.454351] DEBUG: Frame 65 process time: 0.073719s
[16.566758] DEBUG: Frame 66 process time: 0.074114s
[16.686747] DEBUG: Frame 67 process time: 0.074087s
[16.802531] DEBUG: Frame 68 process time: 0.073849s
[16.918431] DEBUG: Frame 69 process time: 0.073706s
[17.033691] DEBUG: Frame 70 process time: 0.073247s
[17.150396] DEBUG: Frame 71 process time: 0.073709s
[17.267162] DEBUG: Frame 72 process time: 0.074443s
[17.382041] DEBUG: Frame 73 process time: 0.073276s
[17.495171] DEBUG: Frame 74 process time: 0.073761s
[17.611004] DEBUG: Frame 75 process time: 0.074230s
[17.730228] DEBUG: Frame 76 process time: 0.073417s
[17.846464] DEBUG: Frame 77 process time: 0.073695s
[17.959229] DEBUG: Frame 78 process time: 0.074397s
[18.075915] DEBUG: Frame 79 process time: 0.073515s
[18.197351] DEBUG: Frame 80 process time: 0.073305s
[18.314860] DEBUG: Frame 81 process time: 0.074007s
[18.438552] DEBUG: Frame 82 process time: 0.073718s
[18.550441] DEBUG: Frame 83 process time: 0.073511s
[18.674438] DEBUG: Frame 84 process time: 0.085038s
[18.795838] DEBUG: Frame 85 process time: 0.091056s
[18.910278] DEBUG: Frame 86 process time: 0.084123s
[19.027625] DEBUG: Frame 87 process time: 0.073899s
[19.141057] DEBUG: Frame 88 process time: 0.082710s
[19.253047] DEBUG: Frame 89 process time: 0.081669s
[19.410504] DEBUG: Frame 90 process time: 0.073642s
[19.525029] DEBUG: Frame 91 process time: 0.083862s
[19.637077] DEBUG: Frame 92 process time: 0.081600s
[19.749329] DEBUG: Frame 93 process time: 0.081107s
[19.877233] DEBUG: Frame 94 process time: 0.073990s
[19.989078] DEBUG: Frame 95 process time: 0.080934s
[20.138329] DEBUG: Frame 96 process time: 0.118910s
[20.271700] DEBUG: Frame 97 process time: 0.098187s
[20.442731] DEBUG: Frame 98 process time: 0.073549s
[20.556174] DEBUG: Frame 99 process time: 0.082737s
[20.586551] EVENT: Calculated point: nan nan nan
[20.586609] CLOSE: Closing Logger :)
