[0.000456] INIT: Logger started :)
[0.000797] EVENT: Parameters parsed for blob detector
[0.000961] EVENT: Parameters parsed for math config
[0.001074] EVENT: Parameters parsed for color detection
[0.001157] EVENT: Parameters parsed for system config
[0.223262] EVENT: Camera Initialized Successfully
[0.759138] EVENT: Serial port /dev/ttyACM1 opened
[0.759450] EVENT: Starting Flight controller loop
[0.761494] EVENT: IMU serial port /dev/ttyACM0 opened
[0.761770] EVENT: IMU sensor data loop started
[1.742160] EVENT: Tracking loop started
[2.299375] DEBUG: Frame 0 process time: 0.557019s
[2.433101] DEBUG: Frame 1 process time: 0.072361s
[2.590980] DEBUG: Frame 2 process time: 0.072512s
[2.726752] DEBUG: Frame 3 process time: 0.073649s
[2.852452] DEBUG: Frame 4 process time: 0.072714s
[3.006593] DEBUG: Frame 5 process time: 0.072522s
[3.531418] DEBUG: Frame 6 process time: 0.073312s
[3.664179] DEBUG: Frame 7 process time: 0.072650s
[3.788199] DEBUG: Frame 8 process time: 0.085196s
[3.893573] DEBUG: Frame 9 process time: 0.075033s
[4.047248] DEBUG: Frame 10 process time: 0.073100s
[4.160004] DEBUG: Frame 11 process time: 0.081420s
[4.423594] DEBUG: Frame 12 process time: 0.073614s
[4.532554] DEBUG: Frame 13 process time: 0.078209s
[4.642661] DEBUG: Frame 14 process time: 0.079847s
[4.781456] DEBUG: Frame 15 process time: 0.075666s
[4.892861] DEBUG: Frame 16 process time: 0.080581s
[5.002033] DEBUG: Frame 17 process time: 0.078956s
[5.138558] DEBUG: Frame 18 process time: 0.075781s
[5.251384] DEBUG: Frame 19 process time: 0.082236s
[5.360785] DEBUG: Frame 20 process time: 0.078628s
[5.489515] DEBUG: Frame 21 process time: 0.075314s
[5.603668] DEBUG: Frame 22 process time: 0.083357s
[5.814425] DEBUG: Frame 23 process time: 0.076135s
[5.926129] DEBUG: Frame 24 process time: 0.080839s
[6.035892] DEBUG: Frame 25 process time: 0.079430s
[6.146738] DEBUG: Frame 26 process time: 0.076249s
[6.285538] DEBUG: Frame 27 process time: 0.075450s
[6.394657] DEBUG: Frame 28 process time: 0.078625s
[6.502589] DEBUG: Frame 29 process time: 0.077723s
[6.608461] DEBUG: Frame 30 process time: 0.075659s
[6.716800] DEBUG: Frame 31 process time: 0.078109s
[6.825551] DEBUG: Frame 32 process time: 0.078533s
[7.009266] DEBUG: Frame 33 process time: 0.075162s
[7.131561] DEBUG: Frame 34 process time: 0.081471s
[7.239037] DEBUG: Frame 35 process time: 0.077252s
[7.345015] DEBUG: Frame 36 process time: 0.075757s
[7.454152] DEBUG: Frame 37 process time: 0.078918s
[7.893148] DEBUG: Frame 38 process time: 0.075230s
[8.070716] DEBUG: Frame 39 process time: 0.075792s
[8.233203] DEBUG: Frame 40 process time: 0.075221s
[9.393306] DEBUG: Frame 41 process time: 0.075073s
[9.553663] DEBUG: Frame 42 process time: 0.075593s
