[0.000447] INIT: Logger started :)
[0.000797] EVENT: Parameters parsed for blob detector
[0.000966] EVENT: Parameters parsed for math config
[0.001076] EVENT: Parameters parsed for color detection
[0.001158] EVENT: Parameters parsed for system config
[0.218727] EVENT: Camera Initialized Successfully
[1.248452] EVENT: Serial port /dev/serial0 opened
[1.248780] EVENT: Starting Flight controller loop
[1.250277] EVENT: IMU serial port /dev/ttyACM0 opened
[1.250590] EVENT: IMU sensor data loop started
[2.384013] EVENT: Tracking loop started
[2.981369] DEBUG: Frame 0 process time: 0.597147s
[3.109497] DEBUG: Frame 1 process time: 0.076839s
[3.252925] DEBUG: Frame 2 process time: 0.080111s
[3.410644] DEBUG: Frame 3 process time: 0.077659s
[3.551716] DEBUG: Frame 4 process time: 0.078612s
[3.710444] DEBUG: Frame 5 process time: 0.080272s
[3.884350] DEBUG: Frame 6 process time: 0.078750s
[4.467174] DEBUG: Frame 7 process time: 0.077024s
[4.604295] DEBUG: Frame 8 process time: 0.089036s
[4.802232] DEBUG: Frame 9 process time: 0.083630s
[4.930528] DEBUG: Frame 10 process time: 0.097434s
[5.107878] DEBUG: Frame 11 process time: 0.077035s
[5.224545] DEBUG: Frame 12 process time: 0.085600s
[5.408852] DEBUG: Frame 13 process time: 0.077737s
[5.523197] DEBUG: Frame 14 process time: 0.083559s
[5.697411] DEBUG: Frame 15 process time: 0.078030s
[5.811904] DEBUG: Frame 16 process time: 0.083958s
[5.929411] DEBUG: Frame 17 process time: 0.087190s
[6.037198] DEBUG: Frame 18 process time: 0.077516s
[6.152401] DEBUG: Frame 19 process time: 0.084481s
[6.317164] DEBUG: Frame 20 process time: 0.080994s
[6.432169] DEBUG: Frame 21 process time: 0.084566s
[6.606674] DEBUG: Frame 22 process time: 0.078297s
[6.722929] DEBUG: Frame 23 process time: 0.085077s
[6.834911] DEBUG: Frame 24 process time: 0.081599s
[6.946238] DEBUG: Frame 25 process time: 0.077658s
[7.062005] DEBUG: Frame 26 process time: 0.084720s
[7.229072] DEBUG: Frame 27 process time: 0.079836s
[7.345014] DEBUG: Frame 28 process time: 0.085235s
[7.517160] DEBUG: Frame 29 process time: 0.078164s
[7.632894] DEBUG: Frame 30 process time: 0.085247s
[7.807987] DEBUG: Frame 31 process time: 0.078431s
[7.925410] DEBUG: Frame 32 process time: 0.086467s
[8.036014] DEBUG: Frame 33 process time: 0.080288s
