[0.000485] INIT: Logger started :)
[0.000859] EVENT: Parameters parsed for blob detector
[0.001024] EVENT: Parameters parsed for math config
[0.001134] EVENT: Parameters parsed for color detection
[0.001216] EVENT: Parameters parsed for system config
[0.223037] EVENT: Camera Initialized Successfully
[0.794761] EVENT: Serial port /dev/ttyACM1 opened
[0.795076] EVENT: Starting Flight controller loop
[0.796246] EVENT: IMU serial port /dev/ttyACM0 opened
[0.796449] EVENT: IMU sensor data loop started
[1.887083] EVENT: Tracking loop started
[2.455962] DEBUG: Frame 0 process time: 0.568650s
[2.590207] DEBUG: Frame 1 process time: 0.074819s
[2.713517] DEBUG: Frame 2 process time: 0.074273s
[2.864630] DEBUG: Frame 3 process time: 0.073678s
[2.996510] DEBUG: Frame 4 process time: 0.073448s
[3.132466] DEBUG: Frame 5 process time: 0.073505s
[3.285649] DEBUG: Frame 6 process time: 0.074191s
[3.903321] DEBUG: Frame 7 process time: 0.074379s
[4.063383] DEBUG: Frame 8 process time: 0.084075s
[4.175192] DEBUG: Frame 9 process time: 0.081425s
[4.286819] DEBUG: Frame 10 process time: 0.080383s
[4.504564] DEBUG: Frame 11 process time: 0.073674s
[4.621683] DEBUG: Frame 12 process time: 0.086649s
[4.737565] DEBUG: Frame 13 process time: 0.085508s
[4.852960] DEBUG: Frame 14 process time: 0.084860s
[4.975110] DEBUG: Frame 15 process time: 0.076283s
[5.095702] DEBUG: Frame 16 process time: 0.076788s
[5.545587] DEBUG: Frame 17 process time: 0.078748s
[5.683488] DEBUG: Frame 18 process time: 0.087856s
[5.798290] DEBUG: Frame 19 process time: 0.084514s
[6.007513] DEBUG: Frame 20 process time: 0.076108s
[6.125086] DEBUG: Frame 21 process time: 0.087197s
[6.238002] DEBUG: Frame 22 process time: 0.082696s
[6.349767] DEBUG: Frame 23 process time: 0.081550s
[6.485203] DEBUG: Frame 24 process time: 0.093305s
[6.600733] DEBUG: Frame 25 process time: 0.085219s
[6.726129] DEBUG: Frame 26 process time: 0.094641s
[6.840838] DEBUG: Frame 27 process time: 0.084415s
[6.961245] DEBUG: Frame 28 process time: 0.089705s
[7.076436] DEBUG: Frame 29 process time: 0.084826s
[7.183270] DEBUG: Frame 30 process time: 0.076356s
[7.316895] DEBUG: Frame 31 process time: 0.103031s
[7.472345] DEBUG: Frame 32 process time: 0.077081s
[7.591331] DEBUG: Frame 33 process time: 0.088508s
[7.705820] DEBUG: Frame 34 process time: 0.084273s
[7.824165] DEBUG: Frame 35 process time: 0.088049s
[7.939171] DEBUG: Frame 36 process time: 0.084696s
[8.060720] DEBUG: Frame 37 process time: 0.088811s
[8.239431] DEBUG: Frame 38 process time: 0.075907s
[8.356674] DEBUG: Frame 39 process time: 0.086855s
