[0.000419] INIT: Logger started :)
[0.000765] EVENT: Parameters parsed for blob detector
[0.000935] EVENT: Parameters parsed for math config
[0.001045] EVENT: Parameters parsed for color detection
[0.001126] EVENT: Parameters parsed for system config
[0.213758] EVENT: Camera Initialized Successfully
[0.832846] EVENT: Serial port /dev/serial0 opened
[0.833175] EVENT: Starting Flight controller loop
[0.835531] EVENT: IMU serial port /dev/ttyACM0 opened
[0.835827] EVENT: IMU sensor data loop started
[2.110246] EVENT: Tracking loop started
[2.697025] DEBUG: Frame 0 process time: 0.586547s
[2.838156] DEBUG: Frame 1 process time: 0.076038s
[2.960078] DEBUG: Frame 2 process time: 0.077625s
[3.127531] DEBUG: Frame 3 process time: 0.077121s
[3.274990] DEBUG: Frame 4 process time: 0.084638s
[3.428716] DEBUG: Frame 5 process time: 0.078674s
[3.587934] DEBUG: Frame 6 process time: 0.077817s
[4.960631] DEBUG: Frame 7 process time: 0.078348s
[5.141161] DEBUG: Frame 8 process time: 0.096510s
[5.285539] DEBUG: Frame 9 process time: 0.108309s
[5.409637] DEBUG: Frame 10 process time: 0.093823s
[5.661737] DEBUG: Frame 11 process time: 0.126429s
[5.835445] DEBUG: Frame 12 process time: 0.117119s
[5.993361] DEBUG: Frame 13 process time: 0.123007s
[6.130241] DEBUG: Frame 14 process time: 0.106541s
[6.481795] DEBUG: Frame 15 process time: 0.087594s
[6.628621] DEBUG: Frame 16 process time: 0.098175s
[6.758398] DEBUG: Frame 17 process time: 0.083586s
[6.884602] DEBUG: Frame 18 process time: 0.077403s
[7.033507] DEBUG: Frame 19 process time: 0.081782s
[7.158696] DEBUG: Frame 20 process time: 0.080240s
[7.295312] DEBUG: Frame 21 process time: 0.081252s
[7.444467] DEBUG: Frame 22 process time: 0.078027s
[7.586100] DEBUG: Frame 23 process time: 0.076032s
[7.703952] DEBUG: Frame 24 process time: 0.077705s
[7.818076] DEBUG: Frame 25 process time: 0.076298s
[7.934136] DEBUG: Frame 26 process time: 0.075651s
[8.058077] DEBUG: Frame 27 process time: 0.075782s
[8.184507] DEBUG: Frame 28 process time: 0.078508s
[8.313996] DEBUG: Frame 29 process time: 0.075931s
[8.437796] DEBUG: Frame 30 process time: 0.075693s
[8.571671] DEBUG: Frame 31 process time: 0.077200s
[8.690812] DEBUG: Frame 32 process time: 0.076583s
[8.811876] DEBUG: Frame 33 process time: 0.077862s
[8.947767] DEBUG: Frame 34 process time: 0.077850s
[9.076251] DEBUG: Frame 35 process time: 0.078098s
[9.212280] DEBUG: Frame 36 process time: 0.080954s
[9.332800] DEBUG: Frame 37 process time: 0.078365s
[9.455543] DEBUG: Frame 38 process time: 0.077491s
[9.600487] DEBUG: Frame 39 process time: 0.078171s
[9.726164] DEBUG: Frame 40 process time: 0.080199s
[9.849168] DEBUG: Frame 41 process time: 0.078851s
[9.980010] DEBUG: Frame 42 process time: 0.077924s
[10.100561] DEBUG: Frame 43 process time: 0.078282s
[10.246296] DEBUG: Frame 44 process time: 0.084231s
[10.368991] DEBUG: Frame 45 process time: 0.078262s
