[0.000436] INIT: Logger started :)
[0.000829] EVENT: Parameters parsed for blob detector
[0.000995] EVENT: Parameters parsed for math config
[0.001105] EVENT: Parameters parsed for color detection
[0.001189] EVENT: Parameters parsed for system config
[0.227865] EVENT: Camera Initialized Successfully
[0.769132] EVENT: Serial port /dev/ttyACM1 opened
[0.769448] EVENT: Starting Flight controller loop
[0.770355] EVENT: IMU serial port /dev/ttyACM0 opened
[0.770677] EVENT: IMU sensor data loop started
[1.844685] EVENT: Tracking loop started
[2.540485] DEBUG: Frame 0 process time: 0.695593s
[2.668914] DEBUG: Frame 1 process time: 0.073276s
[2.787083] DEBUG: Frame 2 process time: 0.073833s
[2.937714] DEBUG: Frame 3 process time: 0.074135s
[3.070194] DEBUG: Frame 4 process time: 0.074595s
[3.205897] DEBUG: Frame 5 process time: 0.074230s
[3.395394] DEBUG: Frame 6 process time: 0.075093s
[4.062249] DEBUG: Frame 7 process time: 0.074598s
[4.188416] DEBUG: Frame 8 process time: 0.080517s
[4.297501] DEBUG: Frame 9 process time: 0.078669s
[4.404521] DEBUG: Frame 10 process time: 0.076670s
[4.520921] DEBUG: Frame 11 process time: 0.085718s
[4.627822] DEBUG: Frame 12 process time: 0.076597s
[4.732924] DEBUG: Frame 13 process time: 0.074785s
[4.851641] DEBUG: Frame 14 process time: 0.079517s
[4.961556] DEBUG: Frame 15 process time: 0.079596s
[5.067986] DEBUG: Frame 16 process time: 0.076148s
[5.174213] DEBUG: Frame 17 process time: 0.075906s
[5.284167] DEBUG: Frame 18 process time: 0.079131s
[5.393362] DEBUG: Frame 19 process time: 0.078880s
[5.501357] DEBUG: Frame 20 process time: 0.077689s
[5.678257] DEBUG: Frame 21 process time: 0.074399s
[5.795315] DEBUG: Frame 22 process time: 0.085898s
[5.903184] DEBUG: Frame 23 process time: 0.077573s
[6.009724] DEBUG: Frame 24 process time: 0.076195s
[6.130227] DEBUG: Frame 25 process time: 0.074461s
[6.238501] DEBUG: Frame 26 process time: 0.077578s
[6.345997] DEBUG: Frame 27 process time: 0.077206s
[6.454132] DEBUG: Frame 28 process time: 0.077834s
[6.573484] DEBUG: Frame 29 process time: 0.073219s
[6.683766] DEBUG: Frame 30 process time: 0.079514s
[6.790908] DEBUG: Frame 31 process time: 0.076827s
[7.081956] DEBUG: Frame 32 process time: 0.073499s
[7.194439] DEBUG: Frame 33 process time: 0.082000s
[7.304706] DEBUG: Frame 34 process time: 0.079243s
