[0.000610] INIT: Logger started :)
[0.000947] EVENT: Parameters parsed for blob detector
[0.001143] EVENT: Parameters parsed for math config
[0.001298] EVENT: Parameters parsed for color detection
[0.001384] EVENT: Parameters parsed for system config
[0.212346] EVENT: Camera Initialized Successfully
[1.072599] EVENT: Serial port /dev/serial0 opened
[1.078120] EVENT: Starting Flight controller loop
[1.079377] EVENT: IMU serial port /dev/ttyACM0 opened
[1.079689] EVENT: IMU sensor data loop started
[2.395764] EVENT: Tracking loop started
[2.991268] DEBUG: Frame 0 process time: 0.595376s
[3.113987] DEBUG: Frame 1 process time: 0.076282s
[3.298541] DEBUG: Frame 2 process time: 0.076827s
[3.472919] DEBUG: Frame 3 process time: 0.077108s
[3.615263] DEBUG: Frame 4 process time: 0.076461s
[5.103201] DEBUG: Frame 5 process time: 0.076053s
[5.303562] DEBUG: Frame 6 process time: 0.077160s
[5.425298] DEBUG: Frame 7 process time: 0.077303s
[6.606932] DEBUG: Frame 8 process time: 0.078850s
[6.772558] DEBUG: Frame 9 process time: 0.077653s
[7.001654] DEBUG: Frame 10 process time: 0.156625s
[7.144224] DEBUG: Frame 11 process time: 0.111989s
[7.259985] DEBUG: Frame 12 process time: 0.085392s
[7.637554] DEBUG: Frame 13 process time: 0.076970s
[7.751078] DEBUG: Frame 14 process time: 0.082322s
[7.875662] DEBUG: Frame 15 process time: 0.094352s
[7.989373] DEBUG: Frame 16 process time: 0.083476s
[8.101934] DEBUG: Frame 17 process time: 0.082342s
[8.512969] DEBUG: Frame 18 process time: 0.086311s
[8.622401] DEBUG: Frame 19 process time: 0.078841s
[8.737606] DEBUG: Frame 20 process time: 0.084942s
[8.847188] DEBUG: Frame 21 process time: 0.079349s
[9.268902] DEBUG: Frame 22 process time: 0.080764s
[9.389988] DEBUG: Frame 23 process time: 0.080311s
[9.507179] DEBUG: Frame 24 process time: 0.086913s
[9.617130] DEBUG: Frame 25 process time: 0.079688s
[10.099632] DEBUG: Frame 26 process time: 0.077378s
[10.215787] DEBUG: Frame 27 process time: 0.085436s
