[0.000527] INIT: Logger started :)
[0.000866] EVENT: Parameters parsed for blob detector
[0.001032] EVENT: Parameters parsed for math config
[0.001144] EVENT: Parameters parsed for color detection
[0.001227] EVENT: Parameters parsed for system config
[0.222467] EVENT: Camera Initialized Successfully
[0.754958] EVENT: Serial port /dev/ttyACM1 opened
[0.755268] EVENT: Starting Flight controller loop
[0.755937] EVENT: IMU serial port /dev/ttyACM0 opened
[0.756239] EVENT: IMU sensor data loop started
[1.809087] EVENT: Tracking loop started
[2.381807] DEBUG: Frame 0 process time: 0.572527s
[2.493377] DEBUG: Frame 1 process time: 0.072365s
[2.622437] DEBUG: Frame 2 process time: 0.073449s
[2.773613] DEBUG: Frame 3 process time: 0.072614s
[2.906209] DEBUG: Frame 4 process time: 0.072973s
[3.042640] DEBUG: Frame 5 process time: 0.073637s
[3.198123] DEBUG: Frame 6 process time: 0.073080s
[3.797975] DEBUG: Frame 7 process time: 0.072948s
[3.926962] DEBUG: Frame 8 process time: 0.081609s
[4.036158] DEBUG: Frame 9 process time: 0.078916s
[4.192181] DEBUG: Frame 10 process time: 0.075133s
[4.306232] DEBUG: Frame 11 process time: 0.082978s
[4.417128] DEBUG: Frame 12 process time: 0.080620s
[4.552807] DEBUG: Frame 13 process time: 0.075547s
[4.664993] DEBUG: Frame 14 process time: 0.081602s
[4.775299] DEBUG: Frame 15 process time: 0.080083s
[4.896836] DEBUG: Frame 16 process time: 0.075487s
[5.007684] DEBUG: Frame 17 process time: 0.080434s
[5.118107] DEBUG: Frame 18 process time: 0.080025s
[5.223976] DEBUG: Frame 19 process time: 0.074945s
[5.335809] DEBUG: Frame 20 process time: 0.081324s
[5.538262] DEBUG: Frame 21 process time: 0.076700s
[5.662079] DEBUG: Frame 22 process time: 0.077125s
[5.768526] DEBUG: Frame 23 process time: 0.075465s
[5.884136] DEBUG: Frame 24 process time: 0.075091s
[6.021755] DEBUG: Frame 25 process time: 0.076682s
[6.141519] DEBUG: Frame 26 process time: 0.076422s
[6.268382] DEBUG: Frame 27 process time: 0.075336s
[6.383341] DEBUG: Frame 28 process time: 0.074893s
[6.501035] DEBUG: Frame 29 process time: 0.076128s
[6.624858] DEBUG: Frame 30 process time: 0.075934s
[6.740784] DEBUG: Frame 31 process time: 0.075831s
[6.864448] DEBUG: Frame 32 process time: 0.075507s
[7.007996] DEBUG: Frame 33 process time: 0.075076s
[7.124381] DEBUG: Frame 34 process time: 0.075434s
[7.244690] DEBUG: Frame 35 process time: 0.075728s
[7.361523] DEBUG: Frame 36 process time: 0.076345s
[7.476735] DEBUG: Frame 37 process time: 0.075759s
[7.599011] DEBUG: Frame 38 process time: 0.081271s
[7.707485] DEBUG: Frame 39 process time: 0.078262s
[7.819678] DEBUG: Frame 40 process time: 0.074830s
[7.932121] DEBUG: Frame 41 process time: 0.081623s
