[0.000472] INIT: Logger started :)
[0.000854] EVENT: Parameters parsed for blob detector
[0.001020] EVENT: Parameters parsed for math config
[0.001129] EVENT: Parameters parsed for color detection
[0.001211] EVENT: Parameters parsed for system config
[0.222082] EVENT: Camera Initialized Successfully
[0.751917] EVENT: Serial port /dev/ttyACM1 opened
[0.752233] EVENT: Starting Flight controller loop
[0.752897] EVENT: IMU serial port /dev/ttyACM0 opened
[0.753186] EVENT: IMU sensor data loop started
[1.800082] EVENT: Tracking loop started
[3.214978] DEBUG: Frame 0 process time: 0.568840s
[3.364412] DEBUG: Frame 1 process time: 0.075024s
[3.481470] DEBUG: Frame 2 process time: 0.076474s
[3.633256] DEBUG: Frame 3 process time: 0.075954s
[3.765413] DEBUG: Frame 4 process time: 0.076485s
[3.897476] DEBUG: Frame 5 process time: 0.076568s
[4.065727] DEBUG: Frame 6 process time: 0.076805s
[4.177952] DEBUG: Frame 7 process time: 0.076568s
[4.659595] DEBUG: Frame 8 process time: 0.094343s
[4.986910] DEBUG: Frame 9 process time: 0.077953s
[5.137037] DEBUG: Frame 10 process time: 0.098522s
[5.290290] DEBUG: Frame 11 process time: 0.086790s
[5.498969] DEBUG: Frame 12 process time: 0.077675s
[5.625247] DEBUG: Frame 13 process time: 0.088210s
[5.741817] DEBUG: Frame 14 process time: 0.086284s
[5.958903] DEBUG: Frame 15 process time: 0.077755s
[6.087179] DEBUG: Frame 16 process time: 0.097693s
[6.204687] DEBUG: Frame 17 process time: 0.086590s
[6.383199] DEBUG: Frame 18 process time: 0.077879s
[6.501465] DEBUG: Frame 19 process time: 0.087786s
[6.619604] DEBUG: Frame 20 process time: 0.087454s
[6.774435] DEBUG: Frame 21 process time: 0.077279s
[6.892362] DEBUG: Frame 22 process time: 0.087090s
[7.011389] DEBUG: Frame 23 process time: 0.088772s
[7.154853] DEBUG: Frame 24 process time: 0.077858s
[7.274365] DEBUG: Frame 25 process time: 0.088516s
[7.392104] DEBUG: Frame 26 process time: 0.087381s
[7.518349] DEBUG: Frame 27 process time: 0.077223s
[7.639688] DEBUG: Frame 28 process time: 0.090794s
[7.754965] DEBUG: Frame 29 process time: 0.085060s
[7.884988] DEBUG: Frame 30 process time: 0.079822s
[8.012488] DEBUG: Frame 31 process time: 0.079205s
[8.138960] DEBUG: Frame 32 process time: 0.077958s
[8.264884] DEBUG: Frame 33 process time: 0.079876s
[8.388011] DEBUG: Frame 34 process time: 0.079010s
[8.506176] DEBUG: Frame 35 process time: 0.077144s
[8.628512] DEBUG: Frame 36 process time: 0.079512s
[8.753282] DEBUG: Frame 37 process time: 0.080363s
[8.878424] DEBUG: Frame 38 process time: 0.077470s
[8.998456] DEBUG: Frame 39 process time: 0.077568s
[9.128612] DEBUG: Frame 40 process time: 0.079346s
[9.256714] DEBUG: Frame 41 process time: 0.079735s
[9.383147] DEBUG: Frame 42 process time: 0.078175s
[9.497856] DEBUG: Frame 43 process time: 0.076923s
