[0.000479] INIT: Logger started :)
[0.000838] EVENT: Parameters parsed for blob detector
[0.001003] EVENT: Parameters parsed for math config
[0.001113] EVENT: Parameters parsed for color detection
[0.001196] EVENT: Parameters parsed for system config
[0.224012] EVENT: Camera Initialized Successfully
[0.687712] EVENT: Serial port /dev/ttyACM1 opened
[0.688040] EVENT: Starting Flight controller loop
[0.688819] EVENT: IMU serial port /dev/ttyACM0 opened
[0.689118] EVENT: IMU sensor data loop started
[1.734209] EVENT: Tracking loop started
[2.303926] DEBUG: Frame 0 process time: 0.569587s
[2.425659] DEBUG: Frame 1 process time: 0.075479s
[2.558295] DEBUG: Frame 2 process time: 0.076201s
[2.710326] DEBUG: Frame 3 process time: 0.076253s
[2.842069] DEBUG: Frame 4 process time: 0.075981s
[2.974573] DEBUG: Frame 5 process time: 0.076471s
[3.131382] DEBUG: Frame 6 process time: 0.077244s
[3.698729] DEBUG: Frame 7 process time: 0.076487s
[3.826576] DEBUG: Frame 8 process time: 0.084485s
[3.936684] DEBUG: Frame 9 process time: 0.079857s
[4.060855] DEBUG: Frame 10 process time: 0.082733s
[4.173404] DEBUG: Frame 11 process time: 0.082321s
[4.288634] DEBUG: Frame 12 process time: 0.084310s
[4.399180] DEBUG: Frame 13 process time: 0.080333s
[4.515588] DEBUG: Frame 14 process time: 0.085473s
[4.626832] DEBUG: Frame 15 process time: 0.081044s
[4.747761] DEBUG: Frame 16 process time: 0.085260s
[4.858605] DEBUG: Frame 17 process time: 0.080629s
[4.979024] DEBUG: Frame 18 process time: 0.084542s
[5.089609] DEBUG: Frame 19 process time: 0.080359s
[5.214904] DEBUG: Frame 20 process time: 0.084665s
[5.325397] DEBUG: Frame 21 process time: 0.080292s
[5.451338] DEBUG: Frame 22 process time: 0.076913s
[5.843193] DEBUG: Frame 23 process time: 0.077319s
[5.966339] DEBUG: Frame 24 process time: 0.083321s
[6.078753] DEBUG: Frame 25 process time: 0.082136s
[6.279553] DEBUG: Frame 26 process time: 0.077183s
[6.393199] DEBUG: Frame 27 process time: 0.082374s
[6.505482] DEBUG: Frame 28 process time: 0.082060s
[6.624967] DEBUG: Frame 29 process time: 0.082533s
[6.735913] DEBUG: Frame 30 process time: 0.080726s
[6.853843] DEBUG: Frame 31 process time: 0.083175s
[6.967817] DEBUG: Frame 32 process time: 0.083759s
[7.187074] DEBUG: Frame 33 process time: 0.076780s
[7.299922] DEBUG: Frame 34 process time: 0.082361s
[7.410672] DEBUG: Frame 35 process time: 0.080530s
[7.523008] DEBUG: Frame 36 process time: 0.081507s
[7.735447] DEBUG: Frame 37 process time: 0.076657s
[7.849020] DEBUG: Frame 38 process time: 0.082922s
[8.043782] DEBUG: Frame 39 process time: 0.077495s
[8.156615] DEBUG: Frame 40 process time: 0.082305s
[8.268724] DEBUG: Frame 41 process time: 0.081897s
[8.377149] DEBUG: Frame 42 process time: 0.077139s
[8.493167] DEBUG: Frame 43 process time: 0.085480s
