[0.000598] INIT: Logger started :)
[0.000986] EVENT: Parameters parsed for blob detector
[0.001152] EVENT: Parameters parsed for math config
[0.001262] EVENT: Parameters parsed for color detection
[0.001351] EVENT: Parameters parsed for system config
[0.224500] EVENT: Camera Initialized Successfully
[0.760921] EVENT: Serial port /dev/ttyACM1 opened
[0.761248] EVENT: Starting Flight controller loop
[0.762029] EVENT: IMU serial port /dev/ttyACM0 opened
[0.762318] EVENT: IMU sensor data loop started
[1.850488] EVENT: Tracking loop started
[2.420566] DEBUG: Frame 0 process time: 0.569881s
[2.566734] DEBUG: Frame 1 process time: 0.076364s
[2.731614] DEBUG: Frame 2 process time: 0.077169s
[2.882768] DEBUG: Frame 3 process time: 0.076358s
[3.019459] DEBUG: Frame 4 process time: 0.077063s
[3.171974] DEBUG: Frame 5 process time: 0.077352s
[3.719774] DEBUG: Frame 6 process time: 0.077381s
[3.864414] DEBUG: Frame 7 process time: 0.095628s
[3.982728] DEBUG: Frame 8 process time: 0.087858s
[4.109960] DEBUG: Frame 9 process time: 0.096888s
[4.225621] DEBUG: Frame 10 process time: 0.085328s
[4.356629] DEBUG: Frame 11 process time: 0.096341s
[4.535156] DEBUG: Frame 12 process time: 0.076791s
[4.651039] DEBUG: Frame 13 process time: 0.085102s
[4.760591] DEBUG: Frame 14 process time: 0.079323s
[4.870898] DEBUG: Frame 15 process time: 0.076491s
[4.985566] DEBUG: Frame 16 process time: 0.083740s
[5.171080] DEBUG: Frame 17 process time: 0.080639s
[5.284734] DEBUG: Frame 18 process time: 0.082705s
[5.395481] DEBUG: Frame 19 process time: 0.080361s
[5.507803] DEBUG: Frame 20 process time: 0.081341s
[5.619437] DEBUG: Frame 21 process time: 0.081415s
[5.819081] DEBUG: Frame 22 process time: 0.076397s
[5.932485] DEBUG: Frame 23 process time: 0.082449s
[6.107695] DEBUG: Frame 24 process time: 0.076704s
[6.230577] DEBUG: Frame 25 process time: 0.076163s
[6.599432] DEBUG: Frame 26 process time: 0.076539s
[6.738765] DEBUG: Frame 27 process time: 0.083831s
[6.851555] DEBUG: Frame 28 process time: 0.082521s
[6.967509] DEBUG: Frame 29 process time: 0.085393s
[7.077003] DEBUG: Frame 30 process time: 0.079270s
[7.193829] DEBUG: Frame 31 process time: 0.082684s
[7.302998] DEBUG: Frame 32 process time: 0.078869s
[7.420650] DEBUG: Frame 33 process time: 0.081729s
[7.532805] DEBUG: Frame 34 process time: 0.081950s
[7.648302] DEBUG: Frame 35 process time: 0.084304s
[7.759878] DEBUG: Frame 36 process time: 0.081350s
[7.955229] DEBUG: Frame 37 process time: 0.076415s
[8.067953] DEBUG: Frame 38 process time: 0.081996s
[8.177107] DEBUG: Frame 39 process time: 0.078917s
[8.290405] DEBUG: Frame 40 process time: 0.082788s
[8.399295] DEBUG: Frame 41 process time: 0.078603s
[8.511814] DEBUG: Frame 42 process time: 0.081771s
[8.722334] DEBUG: Frame 43 process time: 0.075853s
[8.834576] DEBUG: Frame 44 process time: 0.081344s
[9.062914] DEBUG: Frame 45 process time: 0.075956s
[9.176598] DEBUG: Frame 46 process time: 0.082658s
[9.351184] DEBUG: Frame 47 process time: 0.076287s
[9.466595] DEBUG: Frame 48 process time: 0.085060s
[9.577195] DEBUG: Frame 49 process time: 0.080374s
[9.689894] DEBUG: Frame 50 process time: 0.082345s
[9.801485] DEBUG: Frame 51 process time: 0.081323s
[10.256004] DEBUG: Frame 52 process time: 0.081364s
[10.376320] DEBUG: Frame 53 process time: 0.089337s
[10.550992] DEBUG: Frame 54 process time: 0.076368s
[10.662479] DEBUG: Frame 55 process time: 0.080332s
[10.855372] DEBUG: Frame 56 process time: 0.076867s
[10.965906] DEBUG: Frame 57 process time: 0.079903s
[11.074774] DEBUG: Frame 58 process time: 0.078641s
[11.193724] DEBUG: Frame 59 process time: 0.086979s
[11.303970] DEBUG: Frame 60 process time: 0.080023s
[11.414517] DEBUG: Frame 61 process time: 0.079906s
[11.634507] DEBUG: Frame 62 process time: 0.075591s
[11.745641] DEBUG: Frame 63 process time: 0.080674s
[11.855650] DEBUG: Frame 64 process time: 0.079784s
[11.982010] DEBUG: Frame 65 process time: 0.086236s
[12.167082] DEBUG: Frame 66 process time: 0.076756s
[12.280978] DEBUG: Frame 67 process time: 0.083052s
[12.394147] DEBUG: Frame 68 process time: 0.082940s
[12.706702] DEBUG: Frame 69 process time: 0.076152s
[12.820737] DEBUG: Frame 70 process time: 0.083267s
[12.931516] DEBUG: Frame 71 process time: 0.080567s
[13.040374] DEBUG: Frame 72 process time: 0.078643s
[13.154072] DEBUG: Frame 73 process time: 0.083311s
[13.265323] DEBUG: Frame 74 process time: 0.081027s
[13.389047] DEBUG: Frame 75 process time: 0.082260s
