[0.000436] INIT: Logger started :)
[0.000789] EVENT: Parameters parsed for blob detector
[0.000957] EVENT: Parameters parsed for math config
[0.001066] EVENT: Parameters parsed for color detection
[0.001149] EVENT: Parameters parsed for system config
[0.212198] EVENT: Camera Initialized Successfully
[0.767318] EVENT: Serial port /dev/serial0 opened
[0.767646] EVENT: Starting Flight controller loop
[0.769863] EVENT: IMU serial port /dev/ttyACM0 opened
[0.770198] EVENT: IMU sensor data loop started
[2.020404] EVENT: Tracking loop started
[2.598924] DEBUG: Frame 0 process time: 0.578349s
[2.727017] DEBUG: Frame 1 process time: 0.080437s
[2.938985] DEBUG: Frame 2 process time: 0.077549s
[3.070542] DEBUG: Frame 3 process time: 0.076270s
[3.329618] DEBUG: Frame 4 process time: 0.076350s
[3.562703] DEBUG: Frame 5 process time: 0.076941s
[3.762832] DEBUG: Frame 6 process time: 0.082819s
[4.002169] DEBUG: Frame 7 process time: 0.077164s
[4.168529] DEBUG: Frame 8 process time: 0.077310s
[6.244746] DEBUG: Frame 9 process time: 0.076686s
[6.401473] DEBUG: Frame 10 process time: 0.076348s
[6.557142] DEBUG: Frame 11 process time: 0.099167s
[6.691253] DEBUG: Frame 12 process time: 0.103626s
[6.820835] DEBUG: Frame 13 process time: 0.099199s
[6.936045] DEBUG: Frame 14 process time: 0.084824s
[8.125872] DEBUG: Frame 15 process time: 0.080001s
[8.237107] DEBUG: Frame 16 process time: 0.080851s
[8.347391] DEBUG: Frame 17 process time: 0.079968s
[8.458721] DEBUG: Frame 18 process time: 0.080976s
[8.862300] DEBUG: Frame 19 process time: 0.075878s
[8.971918] DEBUG: Frame 20 process time: 0.079307s
[9.539767] DEBUG: Frame 21 process time: 0.077509s
[9.678164] DEBUG: Frame 22 process time: 0.076220s
[11.209408] DEBUG: Frame 23 process time: 0.903156s
[11.355960] DEBUG: Frame 24 process time: 0.076380s
[11.991957] DEBUG: Frame 25 process time: 0.077178s
[12.103764] DEBUG: Frame 26 process time: 0.080692s
[12.219939] DEBUG: Frame 27 process time: 0.085969s
[12.338139] DEBUG: Frame 28 process time: 0.087935s
[12.624931] DEBUG: Frame 29 process time: 0.078478s
[12.746413] DEBUG: Frame 30 process time: 0.090315s
[12.864066] DEBUG: Frame 31 process time: 0.087384s
[13.227174] DEBUG: Frame 32 process time: 0.080193s
[13.343800] DEBUG: Frame 33 process time: 0.085835s
[13.459351] DEBUG: Frame 34 process time: 0.085295s
[13.571033] DEBUG: Frame 35 process time: 0.081458s
[13.844101] DEBUG: Frame 36 process time: 0.077052s
[13.955540] DEBUG: Frame 37 process time: 0.080666s
[14.066177] DEBUG: Frame 38 process time: 0.080412s
[14.175173] DEBUG: Frame 39 process time: 0.078791s
[14.286623] DEBUG: Frame 40 process time: 0.081167s
[14.652637] DEBUG: Frame 41 process time: 0.077082s
[14.762737] DEBUG: Frame 42 process time: 0.079667s
[14.872110] DEBUG: Frame 43 process time: 0.079150s
[14.982264] DEBUG: Frame 44 process time: 0.079949s
[15.092077] DEBUG: Frame 45 process time: 0.079598s
[15.412451] DEBUG: Frame 46 process time: 0.080979s
[15.524058] DEBUG: Frame 47 process time: 0.080774s
[15.635271] DEBUG: Frame 48 process time: 0.080983s
[15.752887] DEBUG: Frame 49 process time: 0.087403s
[15.870268] DEBUG: Frame 50 process time: 0.087115s
[16.177205] DEBUG: Frame 51 process time: 0.077800s
[16.324456] DEBUG: Frame 52 process time: 0.077759s
[16.440914] DEBUG: Frame 53 process time: 0.085448s
[16.553713] DEBUG: Frame 54 process time: 0.082589s
[16.667065] DEBUG: Frame 55 process time: 0.083128s
[17.007861] DEBUG: Frame 56 process time: 0.076367s
[17.119422] DEBUG: Frame 57 process time: 0.080504s
[17.230946] DEBUG: Frame 58 process time: 0.081298s
[17.340098] DEBUG: Frame 59 process time: 0.078919s
[17.591864] DEBUG: Frame 60 process time: 0.076700s
[17.702515] DEBUG: Frame 61 process time: 0.079422s
[17.813514] DEBUG: Frame 62 process time: 0.080773s
[17.923039] DEBUG: Frame 63 process time: 0.079306s
[18.241549] DEBUG: Frame 64 process time: 0.080972s
[18.351736] DEBUG: Frame 65 process time: 0.079136s
[18.462928] DEBUG: Frame 66 process time: 0.080984s
[18.573438] DEBUG: Frame 67 process time: 0.080300s
[18.897381] DEBUG: Frame 68 process time: 0.076886s
[19.009039] DEBUG: Frame 69 process time: 0.081096s
[19.119299] DEBUG: Frame 70 process time: 0.080023s
[19.232306] DEBUG: Frame 71 process time: 0.082791s
[19.752906] DEBUG: Frame 72 process time: 0.078339s
[19.865426] DEBUG: Frame 73 process time: 0.081822s
[19.977191] DEBUG: Frame 74 process time: 0.081548s
[20.084760] DEBUG: Frame 75 process time: 0.077351s
[20.195935] DEBUG: Frame 76 process time: 0.080939s
[20.308279] DEBUG: Frame 77 process time: 0.082082s
[20.608898] DEBUG: Frame 78 process time: 0.080840s
[20.725094] DEBUG: Frame 79 process time: 0.085810s
[20.841620] DEBUG: Frame 80 process time: 0.086263s
[20.956259] DEBUG: Frame 81 process time: 0.084225s
[21.067693] DEBUG: Frame 82 process time: 0.081184s
[21.341636] DEBUG: Frame 83 process time: 0.076319s
[21.451976] DEBUG: Frame 84 process time: 0.079722s
[21.561561] DEBUG: Frame 85 process time: 0.079325s
[21.671377] DEBUG: Frame 86 process time: 0.079592s
[21.940003] DEBUG: Frame 87 process time: 0.076343s
[22.105015] DEBUG: Frame 88 process time: 0.076443s
[22.221515] DEBUG: Frame 89 process time: 0.085860s
[22.332091] DEBUG: Frame 90 process time: 0.080357s
[22.439608] DEBUG: Frame 91 process time: 0.077287s
[22.547065] DEBUG: Frame 92 process time: 0.077237s
[22.653736] DEBUG: Frame 93 process time: 0.076390s
[22.760479] DEBUG: Frame 94 process time: 0.076499s
[24.843176] DEBUG: Frame 95 process time: 0.077867s
[24.952182] DEBUG: Frame 96 process time: 0.078066s
[25.059840] DEBUG: Frame 97 process time: 0.077424s
[25.173003] DEBUG: Frame 98 process time: 0.082942s
[25.279554] DEBUG: Frame 99 process time: 0.076329s
[25.309925] EVENT: Calculated point:  2.85565 0.193655        0
[25.309959] CLOSE: Closing Logger :)
