[0.001672] INIT: Logger started :)
[0.002016] EVENT: Parameters parsed for blob detector
[0.002184] EVENT: Parameters parsed for math config
[0.002295] EVENT: Parameters parsed for color detection
[0.002377] EVENT: Parameters parsed for system config
[0.212946] EVENT: Camera Initialized Successfully
[0.855711] EVENT: Serial port /dev/serial0 opened
[0.856028] EVENT: Starting Flight controller loop
[0.857745] EVENT: IMU serial port /dev/ttyACM0 opened
[0.857989] EVENT: IMU sensor data loop started
[2.883191] EVENT: Tracking loop started
[3.465664] DEBUG: Frame 0 process time: 0.582347s
[3.595774] DEBUG: Frame 1 process time: 0.075425s
[4.757937] DEBUG: Frame 2 process time: 0.077138s
[4.937649] DEBUG: Frame 3 process time: 0.076368s
[5.094086] DEBUG: Frame 4 process time: 0.076561s
[5.374442] DEBUG: Frame 5 process time: 0.076055s
[5.552378] DEBUG: Frame 6 process time: 0.077435s
[5.667414] DEBUG: Frame 7 process time: 0.076233s
[7.282039] DEBUG: Frame 8 process time: 0.078476s
[7.428591] DEBUG: Frame 9 process time: 0.092465s
[7.557616] DEBUG: Frame 10 process time: 0.098735s
[7.666123] DEBUG: Frame 11 process time: 0.078242s
[7.772520] DEBUG: Frame 12 process time: 0.076166s
[9.116344] DEBUG: Frame 13 process time: 0.076693s
[9.245234] DEBUG: Frame 14 process time: 0.098433s
[9.364859] DEBUG: Frame 15 process time: 0.089391s
[9.475553] DEBUG: Frame 16 process time: 0.080475s
[9.722752] DEBUG: Frame 17 process time: 0.076700s
[9.835543] DEBUG: Frame 18 process time: 0.081547s
[9.947500] DEBUG: Frame 19 process time: 0.081615s
[10.058884] DEBUG: Frame 20 process time: 0.081124s
[10.344767] DEBUG: Frame 21 process time: 0.077435s
[11.199587] DEBUG: Frame 22 process time: 0.081433s
[11.309648] DEBUG: Frame 23 process time: 0.079825s
[11.417927] DEBUG: Frame 24 process time: 0.078007s
[11.760889] DEBUG: Frame 25 process time: 0.076626s
[11.870575] DEBUG: Frame 26 process time: 0.078555s
[11.984498] DEBUG: Frame 27 process time: 0.083688s
[12.092336] DEBUG: Frame 28 process time: 0.077612s
[12.200140] DEBUG: Frame 29 process time: 0.077578s
[12.521729] DEBUG: Frame 30 process time: 0.077664s
[12.632835] DEBUG: Frame 31 process time: 0.080650s
[12.741777] DEBUG: Frame 32 process time: 0.078694s
[12.852829] DEBUG: Frame 33 process time: 0.080835s
[13.311427] DEBUG: Frame 34 process time: 0.076488s
[13.420462] DEBUG: Frame 35 process time: 0.078655s
[13.530812] DEBUG: Frame 36 process time: 0.080137s
[13.640325] DEBUG: Frame 37 process time: 0.079281s
[13.750813] DEBUG: Frame 38 process time: 0.080261s
[14.199650] DEBUG: Frame 39 process time: 0.075416s
[14.308634] DEBUG: Frame 40 process time: 0.078344s
[14.419526] DEBUG: Frame 41 process time: 0.080664s
[14.532800] DEBUG: Frame 42 process time: 0.083047s
[14.642300] DEBUG: Frame 43 process time: 0.079300s
[14.962190] DEBUG: Frame 44 process time: 0.077192s
[15.074429] DEBUG: Frame 45 process time: 0.081031s
[15.186260] DEBUG: Frame 46 process time: 0.081598s
[15.294622] DEBUG: Frame 47 process time: 0.078152s
[15.653493] DEBUG: Frame 48 process time: 0.076341s
[15.768611] DEBUG: Frame 49 process time: 0.079220s
[15.877537] DEBUG: Frame 50 process time: 0.078709s
[15.987200] DEBUG: Frame 51 process time: 0.079429s
[16.310434] DEBUG: Frame 52 process time: 0.075872s
[16.425119] DEBUG: Frame 53 process time: 0.083499s
[16.539110] DEBUG: Frame 54 process time: 0.083730s
[16.648250] DEBUG: Frame 55 process time: 0.078910s
[16.977807] DEBUG: Frame 56 process time: 0.078251s
[17.123846] DEBUG: Frame 57 process time: 0.076349s
[17.230504] DEBUG: Frame 58 process time: 0.076139s
[17.338059] DEBUG: Frame 59 process time: 0.077255s
[17.445773] DEBUG: Frame 60 process time: 0.077378s
[17.553928] DEBUG: Frame 61 process time: 0.077885s
[17.661231] DEBUG: Frame 62 process time: 0.077002s
[17.770650] DEBUG: Frame 63 process time: 0.079181s
[17.877811] DEBUG: Frame 64 process time: 0.076932s
[17.986595] DEBUG: Frame 65 process time: 0.078548s
[18.094199] DEBUG: Frame 66 process time: 0.077379s
[18.201966] DEBUG: Frame 67 process time: 0.077545s
[18.310005] DEBUG: Frame 68 process time: 0.077820s
[18.417446] DEBUG: Frame 69 process time: 0.077181s
