[0.006851] INIT: Logger started :)
[0.007237] EVENT: Parameters parsed for blob detector
[0.007416] EVENT: Parameters parsed for math config
[0.007527] EVENT: Parameters parsed for color detection
[0.007610] EVENT: Parameters parsed for system config
[0.219170] EVENT: Camera Initialized Successfully
[0.792428] EVENT: Serial port /dev/serial0 opened
[0.792746] EVENT: Starting Flight controller loop
[0.795200] EVENT: IMU serial port /dev/ttyACM0 opened
[0.795488] EVENT: IMU sensor data loop started
[2.133281] EVENT: Tracking loop started
[2.714413] DEBUG: Frame 0 process time: 0.581004s
[2.865716] DEBUG: Frame 1 process time: 0.075893s
[2.999909] DEBUG: Frame 2 process time: 0.078171s
[3.207494] DEBUG: Frame 3 process time: 0.077516s
[3.358490] DEBUG: Frame 4 process time: 0.077614s
[3.511779] DEBUG: Frame 5 process time: 0.077310s
[3.690585] DEBUG: Frame 6 process time: 0.077007s
[3.819260] DEBUG: Frame 7 process time: 0.076656s
[4.799003] DEBUG: Frame 8 process time: 0.077021s
[4.997009] DEBUG: Frame 9 process time: 0.118756s
[6.738364] DEBUG: Frame 10 process time: 1.710990s
[6.871326] DEBUG: Frame 11 process time: 0.077153s
[7.558892] DEBUG: Frame 12 process time: 0.076860s
[8.259689] DEBUG: Frame 13 process time: 0.077491s
[8.400513] DEBUG: Frame 14 process time: 0.109767s
[8.516545] DEBUG: Frame 15 process time: 0.085783s
[8.626417] DEBUG: Frame 16 process time: 0.079626s
[8.856506] DEBUG: Frame 17 process time: 0.077708s
[8.995067] DEBUG: Frame 18 process time: 0.076374s
[9.106703] DEBUG: Frame 19 process time: 0.080963s
[9.215958] DEBUG: Frame 20 process time: 0.079037s
[9.323982] DEBUG: Frame 21 process time: 0.077799s
[9.611668] DEBUG: Frame 22 process time: 0.077267s
[9.720514] DEBUG: Frame 23 process time: 0.078471s
[9.830130] DEBUG: Frame 24 process time: 0.079388s
[9.945068] DEBUG: Frame 25 process time: 0.084707s
[10.243642] DEBUG: Frame 26 process time: 0.076560s
[10.357543] DEBUG: Frame 27 process time: 0.080385s
[10.467101] DEBUG: Frame 28 process time: 0.079345s
[10.578798] DEBUG: Frame 29 process time: 0.081376s
[10.879117] DEBUG: Frame 30 process time: 0.079738s
[10.993158] DEBUG: Frame 31 process time: 0.083481s
[11.104125] DEBUG: Frame 32 process time: 0.080711s
[11.434950] DEBUG: Frame 33 process time: 0.079943s
[11.544970] DEBUG: Frame 34 process time: 0.079105s
[11.654966] DEBUG: Frame 35 process time: 0.079778s
[11.764685] DEBUG: Frame 36 process time: 0.079483s
[12.011161] DEBUG: Frame 37 process time: 0.076479s
[12.122194] DEBUG: Frame 38 process time: 0.080455s
[12.232869] DEBUG: Frame 39 process time: 0.080449s
[12.345210] DEBUG: Frame 40 process time: 0.082110s
[12.608416] DEBUG: Frame 41 process time: 0.077005s
[12.717015] DEBUG: Frame 42 process time: 0.078192s
[12.828067] DEBUG: Frame 43 process time: 0.080806s
[12.939862] DEBUG: Frame 44 process time: 0.081581s
[13.216234] DEBUG: Frame 45 process time: 0.076876s
[13.327787] DEBUG: Frame 46 process time: 0.080873s
[13.439604] DEBUG: Frame 47 process time: 0.081574s
[13.551814] DEBUG: Frame 48 process time: 0.081991s
[13.850046] DEBUG: Frame 49 process time: 0.081538s
[13.967647] DEBUG: Frame 50 process time: 0.086926s
[14.076523] DEBUG: Frame 51 process time: 0.078657s
[14.185821] DEBUG: Frame 52 process time: 0.079069s
[14.441533] DEBUG: Frame 53 process time: 0.081577s
[14.552554] DEBUG: Frame 54 process time: 0.079826s
[14.661430] DEBUG: Frame 55 process time: 0.078649s
[14.773608] DEBUG: Frame 56 process time: 0.081959s
[15.036850] DEBUG: Frame 57 process time: 0.076877s
[15.150134] DEBUG: Frame 58 process time: 0.082154s
[15.261114] DEBUG: Frame 59 process time: 0.080767s
[15.378693] DEBUG: Frame 60 process time: 0.083814s
[15.641730] DEBUG: Frame 61 process time: 0.077906s
[15.753187] DEBUG: Frame 62 process time: 0.080753s
[15.867216] DEBUG: Frame 63 process time: 0.083783s
[15.980700] DEBUG: Frame 64 process time: 0.083258s
[16.253298] DEBUG: Frame 65 process time: 0.077480s
[16.365812] DEBUG: Frame 66 process time: 0.081972s
[16.477684] DEBUG: Frame 67 process time: 0.081627s
[16.586799] DEBUG: Frame 68 process time: 0.078911s
[16.993909] DEBUG: Frame 69 process time: 0.077316s
[17.105827] DEBUG: Frame 70 process time: 0.081128s
[17.222489] DEBUG: Frame 71 process time: 0.086458s
[17.334218] DEBUG: Frame 72 process time: 0.081502s
[17.673942] DEBUG: Frame 73 process time: 0.077474s
[17.786924] DEBUG: Frame 74 process time: 0.082077s
[17.896020] DEBUG: Frame 75 process time: 0.078881s
[18.008579] DEBUG: Frame 76 process time: 0.082360s
[18.305455] DEBUG: Frame 77 process time: 0.076829s
[18.419540] DEBUG: Frame 78 process time: 0.082857s
[18.529261] DEBUG: Frame 79 process time: 0.079508s
[18.641995] DEBUG: Frame 80 process time: 0.082509s
[18.948028] DEBUG: Frame 81 process time: 0.078156s
[19.060590] DEBUG: Frame 82 process time: 0.081987s
[19.169261] DEBUG: Frame 83 process time: 0.078476s
[19.279482] DEBUG: Frame 84 process time: 0.080016s
[19.561828] DEBUG: Frame 85 process time: 0.077505s
[20.353545] DEBUG: Frame 86 process time: 0.077043s
[20.471775] DEBUG: Frame 87 process time: 0.078279s
[20.581335] DEBUG: Frame 88 process time: 0.079016s
[20.689680] DEBUG: Frame 89 process time: 0.078118s
[20.800648] DEBUG: Frame 90 process time: 0.080741s
[20.909618] DEBUG: Frame 91 process time: 0.078747s
[21.017625] DEBUG: Frame 92 process time: 0.077778s
[21.125583] DEBUG: Frame 93 process time: 0.077690s
[21.234598] DEBUG: Frame 94 process time: 0.078777s
