[0.821699] INIT: Logger started :)
[0.822124] EVENT: Parameters parsed for blob detector
[0.822298] EVENT: Parameters parsed for math config
[0.822410] EVENT: Parameters parsed for color detection
[0.822492] EVENT: Parameters parsed for system config
[1.089747] EVENT: Camera Initialized Successfully
[1.647837] EVENT: Serial port /dev/serial0 opened
[1.648155] EVENT: Starting Flight controller loop
[1.650505] EVENT: IMU serial port /dev/ttyACM0 opened
[1.650755] EVENT: IMU sensor data loop started
[3.108431] EVENT: Tracking loop started
[3.719004] DEBUG: Frame 0 process time: 0.610446s
[3.844819] DEBUG: Frame 1 process time: 0.075278s
[4.021464] DEBUG: Frame 2 process time: 0.075661s
[4.209713] DEBUG: Frame 3 process time: 0.075833s
[4.389999] DEBUG: Frame 4 process time: 0.076085s
[4.597005] DEBUG: Frame 5 process time: 0.074979s
[4.798774] DEBUG: Frame 6 process time: 0.080549s
[4.910233] DEBUG: Frame 7 process time: 0.075756s
[5.572001] DEBUG: Frame 8 process time: 0.078140s
[6.007435] DEBUG: Frame 9 process time: 0.075664s
[6.170173] DEBUG: Frame 10 process time: 0.090540s
[6.295288] DEBUG: Frame 11 process time: 0.094645s
[6.409603] DEBUG: Frame 12 process time: 0.083951s
[6.808659] DEBUG: Frame 13 process time: 0.076349s
[6.931305] DEBUG: Frame 14 process time: 0.092153s
[7.057621] DEBUG: Frame 15 process time: 0.095928s
[7.166841] DEBUG: Frame 16 process time: 0.078957s
[7.518688] DEBUG: Frame 17 process time: 0.076905s
[7.632218] DEBUG: Frame 18 process time: 0.080648s
[7.741318] DEBUG: Frame 19 process time: 0.078846s
[7.852055] DEBUG: Frame 20 process time: 0.080500s
[8.254544] DEBUG: Frame 21 process time: 0.076546s
[8.367531] DEBUG: Frame 22 process time: 0.081772s
[8.476672] DEBUG: Frame 23 process time: 0.078771s
[8.584915] DEBUG: Frame 24 process time: 0.077901s
[8.696172] DEBUG: Frame 25 process time: 0.080915s
[9.151572] DEBUG: Frame 26 process time: 0.076403s
[9.264936] DEBUG: Frame 27 process time: 0.077635s
[9.373995] DEBUG: Frame 28 process time: 0.078721s
[9.482057] DEBUG: Frame 29 process time: 0.077760s
[9.588557] DEBUG: Frame 30 process time: 0.076173s
[9.697202] DEBUG: Frame 31 process time: 0.078297s
[9.808106] DEBUG: Frame 32 process time: 0.080570s
[10.177337] DEBUG: Frame 33 process time: 0.073206s
[10.288243] DEBUG: Frame 34 process time: 0.079795s
[10.395037] DEBUG: Frame 35 process time: 0.076433s
[10.503929] DEBUG: Frame 36 process time: 0.078548s
[10.613939] DEBUG: Frame 37 process time: 0.079674s
[10.885687] DEBUG: Frame 38 process time: 0.072517s
[10.995771] DEBUG: Frame 39 process time: 0.079610s
[11.104015] DEBUG: Frame 40 process time: 0.077886s
[11.208844] DEBUG: Frame 41 process time: 0.074535s
[11.317290] DEBUG: Frame 42 process time: 0.078097s
[11.425916] DEBUG: Frame 43 process time: 0.078326s
[11.532120] DEBUG: Frame 44 process time: 0.075951s
[12.494239] DEBUG: Frame 45 process time: 0.075118s
[12.607983] DEBUG: Frame 46 process time: 0.082337s
[12.716597] DEBUG: Frame 47 process time: 0.078200s
[12.829788] DEBUG: Frame 48 process time: 0.082953s
[13.237286] DEBUG: Frame 49 process time: 0.077910s
[13.346536] DEBUG: Frame 50 process time: 0.078966s
[13.455419] DEBUG: Frame 51 process time: 0.078656s
[13.565219] DEBUG: Frame 52 process time: 0.079562s
[13.676383] DEBUG: Frame 53 process time: 0.080919s
[13.944527] DEBUG: Frame 54 process time: 0.076646s
[14.055984] DEBUG: Frame 55 process time: 0.080984s
[14.164333] DEBUG: Frame 56 process time: 0.078091s
[14.275163] DEBUG: Frame 57 process time: 0.080597s
[14.596612] DEBUG: Frame 58 process time: 0.076223s
[14.710448] DEBUG: Frame 59 process time: 0.082672s
[14.821332] DEBUG: Frame 60 process time: 0.080646s
[14.932090] DEBUG: Frame 61 process time: 0.080516s
[15.242192] DEBUG: Frame 62 process time: 0.077532s
[15.354607] DEBUG: Frame 63 process time: 0.081173s
[15.462367] DEBUG: Frame 64 process time: 0.077497s
[15.571305] DEBUG: Frame 65 process time: 0.078703s
[15.990140] DEBUG: Frame 66 process time: 0.076193s
[16.097249] DEBUG: Frame 67 process time: 0.076785s
[16.206787] DEBUG: Frame 68 process time: 0.079288s
[16.320232] DEBUG: Frame 69 process time: 0.078671s
[16.634699] DEBUG: Frame 70 process time: 0.075551s
[16.745059] DEBUG: Frame 71 process time: 0.080074s
[16.855526] DEBUG: Frame 72 process time: 0.080235s
[16.964082] DEBUG: Frame 73 process time: 0.078315s
[17.262918] DEBUG: Frame 74 process time: 0.075840s
[17.382279] DEBUG: Frame 75 process time: 0.080052s
[17.492198] DEBUG: Frame 76 process time: 0.079684s
[17.602115] DEBUG: Frame 77 process time: 0.079717s
[17.942775] DEBUG: Frame 78 process time: 0.075530s
[18.055328] DEBUG: Frame 79 process time: 0.081545s
[18.168296] DEBUG: Frame 80 process time: 0.082736s
[18.284841] DEBUG: Frame 81 process time: 0.086313s
[18.683525] DEBUG: Frame 82 process time: 0.075890s
[18.794369] DEBUG: Frame 83 process time: 0.080436s
[18.907246] DEBUG: Frame 84 process time: 0.082658s
[19.014690] DEBUG: Frame 85 process time: 0.077197s
[19.123349] DEBUG: Frame 86 process time: 0.078418s
[19.236175] DEBUG: Frame 87 process time: 0.082516s
[20.032603] DEBUG: Frame 88 process time: 0.075422s
[20.140021] DEBUG: Frame 89 process time: 0.077017s
[20.247684] DEBUG: Frame 90 process time: 0.077326s
[20.356285] DEBUG: Frame 91 process time: 0.078319s
[20.465122] DEBUG: Frame 92 process time: 0.078550s
[20.571338] DEBUG: Frame 93 process time: 0.075927s
[20.678995] DEBUG: Frame 94 process time: 0.077398s
