[0.000452] INIT: Logger started :)
[0.000822] EVENT: Parameters parsed for blob detector
[0.000987] EVENT: Parameters parsed for math config
[0.001097] EVENT: Parameters parsed for color detection
[0.001178] EVENT: Parameters parsed for system config
[0.224585] EVENT: Camera Initialized Successfully
[0.764058] EVENT: Serial port /dev/ttyACM1 opened
[0.764371] EVENT: Starting Flight controller loop
[0.766165] EVENT: IMU serial port /dev/ttyACM0 opened
[0.766482] EVENT: IMU sensor data loop started
[1.819935] EVENT: Tracking loop started
[2.386634] DEBUG: Frame 0 process time: 0.560554s
[2.516167] DEBUG: Frame 1 process time: 0.076316s
[2.633284] DEBUG: Frame 2 process time: 0.077554s
[2.785042] DEBUG: Frame 3 process time: 0.077331s
[2.920737] DEBUG: Frame 4 process time: 0.076992s
[3.052390] DEBUG: Frame 5 process time: 0.076652s
[3.209072] DEBUG: Frame 6 process time: 0.077332s
[3.614069] DEBUG: Frame 7 process time: 0.085269s
[3.880719] DEBUG: Frame 8 process time: 0.076927s
[4.013220] DEBUG: Frame 9 process time: 0.088679s
[4.129590] DEBUG: Frame 10 process time: 0.086108s
[4.329865] DEBUG: Frame 11 process time: 0.077962s
[4.447505] DEBUG: Frame 12 process time: 0.086506s
[4.757058] DEBUG: Frame 13 process time: 0.077298s
[4.875856] DEBUG: Frame 14 process time: 0.088274s
[4.991859] DEBUG: Frame 15 process time: 0.085780s
[5.156672] DEBUG: Frame 16 process time: 0.076910s
[5.273616] DEBUG: Frame 17 process time: 0.086486s
[5.388838] DEBUG: Frame 18 process time: 0.085013s
[5.557744] DEBUG: Frame 19 process time: 0.077468s
[5.675158] DEBUG: Frame 20 process time: 0.086343s
[5.791153] DEBUG: Frame 21 process time: 0.085706s
[5.937454] DEBUG: Frame 22 process time: 0.077506s
[6.058146] DEBUG: Frame 23 process time: 0.089894s
[6.175570] DEBUG: Frame 24 process time: 0.087014s
[6.313183] DEBUG: Frame 25 process time: 0.077067s
[6.449138] DEBUG: Frame 26 process time: 0.104870s
[6.585772] DEBUG: Frame 27 process time: 0.105886s
[6.716830] DEBUG: Frame 28 process time: 0.100727s
[6.964289] DEBUG: Frame 29 process time: 0.083806s
[7.099095] DEBUG: Frame 30 process time: 0.104304s
[7.294282] DEBUG: Frame 31 process time: 0.078236s
[7.429450] DEBUG: Frame 32 process time: 0.104031s
[7.633837] DEBUG: Frame 33 process time: 0.077817s
[7.753791] DEBUG: Frame 34 process time: 0.077890s
[8.146680] DEBUG: Frame 35 process time: 0.078741s
[8.521953] DEBUG: Frame 36 process time: 0.077961s
[8.651049] DEBUG: Frame 37 process time: 0.098569s
[8.841507] DEBUG: Frame 38 process time: 0.077439s
[8.963284] DEBUG: Frame 39 process time: 0.090645s
[9.173590] DEBUG: Frame 40 process time: 0.077539s
[9.293362] DEBUG: Frame 41 process time: 0.089011s
[9.410496] DEBUG: Frame 42 process time: 0.086927s
[9.533315] DEBUG: Frame 43 process time: 0.092093s
[9.644790] DEBUG: Frame 44 process time: 0.076673s
[9.763922] DEBUG: Frame 45 process time: 0.088165s
[9.880060] DEBUG: Frame 46 process time: 0.085917s
[10.002725] DEBUG: Frame 47 process time: 0.092127s
[10.123702] DEBUG: Frame 48 process time: 0.090096s
[10.337324] DEBUG: Frame 49 process time: 0.077058s
[10.456576] DEBUG: Frame 50 process time: 0.088199s
[10.661991] DEBUG: Frame 51 process time: 0.077805s
[10.782451] DEBUG: Frame 52 process time: 0.090023s
[10.898438] DEBUG: Frame 53 process time: 0.085721s
[11.016558] DEBUG: Frame 54 process time: 0.086991s
[11.140869] DEBUG: Frame 55 process time: 0.076874s
[11.273991] DEBUG: Frame 56 process time: 0.102409s
[11.454041] DEBUG: Frame 57 process time: 0.077845s
[11.590508] DEBUG: Frame 58 process time: 0.105517s
[11.769411] DEBUG: Frame 59 process time: 0.077347s
[11.893993] DEBUG: Frame 60 process time: 0.094318s
[12.089884] DEBUG: Frame 61 process time: 0.081678s
[12.225985] DEBUG: Frame 62 process time: 0.105128s
[12.425678] DEBUG: Frame 63 process time: 0.077621s
[12.545457] DEBUG: Frame 64 process time: 0.089231s
[12.729895] DEBUG: Frame 65 process time: 0.077898s
[12.843157] DEBUG: Frame 66 process time: 0.082673s
[12.980286] DEBUG: Frame 67 process time: 0.106898s
[13.125633] DEBUG: Frame 68 process time: 0.077477s
[13.247931] DEBUG: Frame 69 process time: 0.091522s
[13.425823] DEBUG: Frame 70 process time: 0.077527s
[13.546834] DEBUG: Frame 71 process time: 0.090332s
[13.663068] DEBUG: Frame 72 process time: 0.086012s
[13.856797] DEBUG: Frame 73 process time: 0.076473s
[13.986470] DEBUG: Frame 74 process time: 0.099275s
[14.157924] DEBUG: Frame 75 process time: 0.077755s
[14.278099] DEBUG: Frame 76 process time: 0.088922s
[14.394268] DEBUG: Frame 77 process time: 0.085936s
[14.522736] DEBUG: Frame 78 process time: 0.088813s
[14.638041] DEBUG: Frame 79 process time: 0.085065s
[14.759626] DEBUG: Frame 80 process time: 0.090887s
[14.945378] DEBUG: Frame 81 process time: 0.077240s
[15.079925] DEBUG: Frame 82 process time: 0.103471s
[15.233779] DEBUG: Frame 83 process time: 0.077487s
[15.368168] DEBUG: Frame 84 process time: 0.103455s
[15.525717] DEBUG: Frame 85 process time: 0.077538s
[15.643908] DEBUG: Frame 86 process time: 0.087380s
[15.832451] DEBUG: Frame 87 process time: 0.076143s
[15.968267] DEBUG: Frame 88 process time: 0.104677s
[16.134300] DEBUG: Frame 89 process time: 0.077926s
[16.264121] DEBUG: Frame 90 process time: 0.098724s
[16.421851] DEBUG: Frame 91 process time: 0.077296s
[16.542062] DEBUG: Frame 92 process time: 0.089152s
[16.658179] DEBUG: Frame 93 process time: 0.085871s
[16.780490] DEBUG: Frame 94 process time: 0.091183s
[16.897813] DEBUG: Frame 95 process time: 0.086891s
[17.022240] DEBUG: Frame 96 process time: 0.089258s
[20.377861] DEBUG: Frame 97 process time: 3.325371s
[20.669179] DEBUG: Frame 98 process time: 0.076694s
[20.779872] DEBUG: Frame 99 process time: 0.079635s
