[0.000432] INIT: Logger started :)
[0.000784] EVENT: Parameters parsed for blob detector
[0.000947] EVENT: Parameters parsed for math config
[0.001057] EVENT: Parameters parsed for color detection
[0.001138] EVENT: Parameters parsed for system config
[0.224077] EVENT: Camera Initialized Successfully
[0.773311] EVENT: Serial port /dev/ttyACM1 opened
[0.773636] EVENT: Starting Flight controller loop
[0.774279] EVENT: IMU serial port /dev/ttyACM0 opened
[0.774596] EVENT: IMU sensor data loop started
[1.846319] EVENT: Tracking loop started
[2.406379] DEBUG: Frame 0 process time: 0.559880s
[2.530807] DEBUG: Frame 1 process time: 0.073226s
[2.651476] DEBUG: Frame 2 process time: 0.073862s
[2.794507] DEBUG: Frame 3 process time: 0.072929s
[2.931267] DEBUG: Frame 4 process time: 0.073677s
[3.062987] DEBUG: Frame 5 process time: 0.073387s
[3.216049] DEBUG: Frame 6 process time: 0.074368s
[3.765381] DEBUG: Frame 7 process time: 0.073403s
[3.915792] DEBUG: Frame 8 process time: 0.074167s
[4.042454] DEBUG: Frame 9 process time: 0.080811s
[4.151775] DEBUG: Frame 10 process time: 0.078953s
[4.256975] DEBUG: Frame 11 process time: 0.074889s
[4.367184] DEBUG: Frame 12 process time: 0.079261s
[4.474637] DEBUG: Frame 13 process time: 0.077095s
[4.611144] DEBUG: Frame 14 process time: 0.073575s
[4.720349] DEBUG: Frame 15 process time: 0.078606s
[4.828221] DEBUG: Frame 16 process time: 0.077589s
[4.937709] DEBUG: Frame 17 process time: 0.074836s
[5.048415] DEBUG: Frame 18 process time: 0.079924s
[5.155042] DEBUG: Frame 19 process time: 0.076081s
[5.267740] DEBUG: Frame 20 process time: 0.081486s
[5.398659] DEBUG: Frame 21 process time: 0.073077s
[5.506195] DEBUG: Frame 22 process time: 0.076394s
[5.613784] DEBUG: Frame 23 process time: 0.077248s
[5.722291] DEBUG: Frame 24 process time: 0.078061s
[5.859439] DEBUG: Frame 25 process time: 0.073730s
[5.970486] DEBUG: Frame 26 process time: 0.080253s
[9.418887] DEBUG: Frame 27 process time: 0.073210s
[9.869596] DEBUG: Frame 28 process time: 0.075490s
[10.015945] DEBUG: Frame 29 process time: 0.073642s
[10.131202] DEBUG: Frame 30 process time: 0.073563s
[10.247512] DEBUG: Frame 31 process time: 0.073893s
[10.363357] DEBUG: Frame 32 process time: 0.073704s
[10.480684] DEBUG: Frame 33 process time: 0.075086s
[10.611593] DEBUG: Frame 34 process time: 0.073555s
[10.727062] DEBUG: Frame 35 process time: 0.073454s
[10.839667] DEBUG: Frame 36 process time: 0.074033s
[10.954633] DEBUG: Frame 37 process time: 0.073774s
