Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
2620911,0,0,0,0,0,0,0.0506145,-0.921534,0.361283,0.0506145,-0.921534,0.361283,259,289,3.63099,0.444016,0
3289542,0,0,0,0,0,0,0.0401426,-0.921534,0.378736,0.0401426,-0.921534,0.378736,259,289,3.61008,0.510314,0
3551772,0,0,0,0,0,0,0.0401426,-0.925025,0.376991,0.0401426,-0.925025,0.376991,259,289,3.58465,0.495586,0
3845967,0,0,0,0,0,0,0.0418879,-0.92677,0.376991,0.0418879,-0.92677,0.376991,258,291,3.54928,0.467978,0
4119103,0,0,0,0,0,0,0.0418879,-0.932006,0.375246,0.0418879,-0.932006,0.375246,255,293,3.49816,0.40197,0
4397424,0,0,0,0,0,0,0.0418879,-0.940732,0.364774,0.0418879,-0.940732,0.364774,255,293,3.43771,0.345682,0
4697043,0,0,0,0,0,0,0.0453786,-0.945968,0.356047,0.0453786,-0.945968,0.356047,254,288,3.48556,0.314661,0
5489117,0,0,0,0,0,0,0.0418879,-0.954695,0.349066,0.0418879,-0.954695,0.349066,254,285,3.46327,0.286815,0
5771422,0,0,0,0,0,0,0.0418879,-0.95295,0.349066,0.0418879,-0.95295,0.349066,255,285,3.47096,0.303029,0
6009036,0,0,0,0,0,0,0.0418879,-0.95295,0.349066,0.0418879,-0.95295,0.349066,256,281,3.52554,0.334529,0
6263851,0,0,0,0,0,0,0.0418879,-0.95295,0.349066,0.0418879,-0.95295,0.349066,259,275,3.60055,0.401429,0
6528421,0,0,0,0,0,0,0.0418879,-0.954695,0.349066,0.0418879,-0.954695,0.349066,261,272,3.62251,0.437754,0
6790931,0,0,0,0,0,0,0.0453786,-0.954695,0.349066,0.0453786,-0.954695,0.349066,263,267,3.69259,0.488191,0
7057210,0,0,0,0,0,0,0.0418879,-0.954695,0.349066,0.0418879,-0.954695,0.349066,262,267,3.69437,0.475593,0
7314886,0,0,0,0,0,0,0.0418879,-0.954695,0.349066,0.0418879,-0.954695,0.349066,264,266,3.69916,0.506271,0
7563332,0,0,0,0,0,0,0.0418879,-0.954695,0.349066,0.0418879,-0.954695,0.349066,263,267,3.68899,0.488381,0
7832709,0,0,0,0,0,0,0.0453786,-0.954695,0.349066,0.0453786,-0.954695,0.349066,263,266,3.70814,0.493324,0
8101424,0,0,0,0,0,0,0.0453786,-0.954695,0.349066,0.0453786,-0.954695,0.349066,263,266,3.70814,0.493324,0
8358102,0,0,0,0,0,0,0.0418879,-0.954695,0.349066,0.0418879,-0.954695,0.349066,262,267,3.69437,0.475593,0
8629798,0,0,0,0,0,0,0.0401426,-0.954695,0.349066,0.0401426,-0.954695,0.349066,262,267,3.69254,0.475685,0
8897575,0,0,0,0,0,0,0.0366519,-0.954695,0.349066,0.0366519,-0.954695,0.349066,263,267,3.68359,0.488684,0
9149805,0,0,0,0,0,0,0.0331613,-0.954695,0.350811,0.0331613,-0.954695,0.350811,262,266,3.69999,0.48749,0
9434836,0,0,0,0,0,0,0.0244346,-0.954695,0.350811,0.0244346,-0.954695,0.350811,262,266,3.6909,0.487909,0
9685176,0,0,0,0,0,0,0.0122173,-0.951204,0.349066,0.0122173,-0.951204,0.349066,262,266,3.70602,0.490094,0
9945349,0,0,0,0,0,0,-0,-0.949459,0.350811,0,-0.949459,0.350811,261,266,3.71072,0.488375,0
10212766,0,0,0,0,0,0,-0.00349066,-0.949459,0.350811,-0.00349066,-0.949459,0.350811,260,266,3.71173,0.475612,0
10503366,0,0,0,0,0,0,-0.015708,-0.947714,0.350811,-0.015708,-0.947714,0.350811,258,267,3.70533,0.450061,0
10770205,0,0,0,0,0,0,-0.0122173,-0.947714,0.350811,-0.0122173,-0.947714,0.350811,255,267,3.72285,0.410665,0
