[0.000468] INIT: Logger started :)
[0.000822] EVENT: Parameters parsed for blob detector
[0.000985] EVENT: Parameters parsed for math config
[0.001094] EVENT: Parameters parsed for color detection
[0.001176] EVENT: Parameters parsed for system config
[0.220906] EVENT: Camera Initialized Successfully
[0.752529] EVENT: Serial port /dev/ttyACM1 opened
[0.752838] EVENT: Starting Flight controller loop
[0.755264] EVENT: IMU serial port /dev/ttyACM0 opened
[0.755563] EVENT: IMU sensor data loop started
[1.787620] EVENT: Tracking loop started
[2.361883] DEBUG: Frame 0 process time: 0.574134s
[2.509027] DEBUG: Frame 1 process time: 0.078101s
[2.682092] DEBUG: Frame 2 process time: 0.078638s
[2.833850] DEBUG: Frame 3 process time: 0.078966s
[2.971007] DEBUG: Frame 4 process time: 0.080103s
[3.127541] DEBUG: Frame 5 process time: 0.080040s
[3.623588] DEBUG: Frame 6 process time: 0.082690s
[3.744217] DEBUG: Frame 7 process time: 0.085233s
[3.882358] DEBUG: Frame 8 process time: 0.091089s
[4.072360] DEBUG: Frame 9 process time: 0.089428s
[4.193363] DEBUG: Frame 10 process time: 0.090505s
[4.396203] DEBUG: Frame 11 process time: 0.085379s
[4.519112] DEBUG: Frame 12 process time: 0.091854s
[4.639917] DEBUG: Frame 13 process time: 0.090550s
[4.755205] DEBUG: Frame 14 process time: 0.084177s
[4.864661] DEBUG: Frame 15 process time: 0.079032s
[5.067366] DEBUG: Frame 16 process time: 0.075636s
[5.182039] DEBUG: Frame 17 process time: 0.083905s
[5.290103] DEBUG: Frame 18 process time: 0.077696s
[5.413616] DEBUG: Frame 19 process time: 0.088020s
[5.522568] DEBUG: Frame 20 process time: 0.078486s
[5.637350] DEBUG: Frame 21 process time: 0.081954s
[5.747071] DEBUG: Frame 22 process time: 0.079254s
[5.858381] DEBUG: Frame 23 process time: 0.080126s
[5.966586] DEBUG: Frame 24 process time: 0.075426s
[6.084033] DEBUG: Frame 25 process time: 0.086643s
[6.193046] DEBUG: Frame 26 process time: 0.078708s
[6.305896] DEBUG: Frame 27 process time: 0.078832s
[6.419863] DEBUG: Frame 28 process time: 0.083659s
[6.528860] DEBUG: Frame 29 process time: 0.078695s
[6.842144] DEBUG: Frame 30 process time: 0.077919s
[6.963319] DEBUG: Frame 31 process time: 0.090315s
[7.092518] DEBUG: Frame 32 process time: 0.098898s
[7.224175] DEBUG: Frame 33 process time: 0.101352s
[7.544050] DEBUG: Frame 34 process time: 0.093150s
[7.665727] DEBUG: Frame 35 process time: 0.090959s
[7.786883] DEBUG: Frame 36 process time: 0.090914s
[7.907439] DEBUG: Frame 37 process time: 0.090276s
[8.192957] DEBUG: Frame 38 process time: 0.087752s
[8.314110] DEBUG: Frame 39 process time: 0.090639s
[8.436266] DEBUG: Frame 40 process time: 0.091901s
[8.557643] DEBUG: Frame 41 process time: 0.091080s
[8.679189] DEBUG: Frame 42 process time: 0.091291s
[8.801778] DEBUG: Frame 43 process time: 0.092375s
[9.005454] DEBUG: Frame 44 process time: 0.090119s
[9.153942] DEBUG: Frame 45 process time: 0.090982s
[9.276780] DEBUG: Frame 46 process time: 0.091868s
[9.398148] DEBUG: Frame 47 process time: 0.091112s
[9.522080] DEBUG: Frame 48 process time: 0.093727s
[9.961764] DEBUG: Frame 49 process time: 0.090946s
[10.090251] DEBUG: Frame 50 process time: 0.097712s
[10.212837] DEBUG: Frame 51 process time: 0.092280s
[10.479109] DEBUG: Frame 52 process time: 0.079672s
[10.593578] DEBUG: Frame 53 process time: 0.083370s
[10.722035] DEBUG: Frame 54 process time: 0.098137s
[10.846347] DEBUG: Frame 55 process time: 0.087098s
[10.955143] DEBUG: Frame 56 process time: 0.078420s
[11.062557] DEBUG: Frame 57 process time: 0.077091s
[11.173406] DEBUG: Frame 58 process time: 0.080099s
[11.283678] DEBUG: Frame 59 process time: 0.079947s
[11.413551] DEBUG: Frame 60 process time: 0.074470s
[11.530552] DEBUG: Frame 61 process time: 0.086515s
[11.637694] DEBUG: Frame 62 process time: 0.076844s
[11.764523] DEBUG: Frame 63 process time: 0.073732s
[11.874706] DEBUG: Frame 64 process time: 0.079522s
[11.984711] DEBUG: Frame 65 process time: 0.079683s
[12.179795] DEBUG: Frame 66 process time: 0.076910s
[12.320327] DEBUG: Frame 67 process time: 0.109288s
[12.596525] DEBUG: Frame 68 process time: 0.117677s
[12.758325] DEBUG: Frame 69 process time: 0.131223s
[12.905104] DEBUG: Frame 70 process time: 0.116434s
[13.039030] DEBUG: Frame 71 process time: 0.102892s
[13.239199] DEBUG: Frame 72 process time: 0.108099s
[13.376741] DEBUG: Frame 73 process time: 0.106535s
[13.516425] DEBUG: Frame 74 process time: 0.109351s
[13.655193] DEBUG: Frame 75 process time: 0.108017s
