Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
11938305,0,0,0,0,0,0,-0.00349066,-0.60912,-0.23911,-0.00349066,-0.60912,-0.23911,297,314,5.92358,-1.79611,0
12201515,0,0,0,0,0,0,-0.00698132,-0.607375,-0.232129,-0.00698132,-0.607375,-0.232129,305,327,5.69033,-1.54413,0
12465484,0,0,0,0,0,0,-0.00698132,-0.607375,-0.226893,-0.00698132,-0.607375,-0.226893,314,342,5.40909,-1.29066,0
12731539,0,0,0,0,0,0,-0.00698132,-0.607375,-0.223402,-0.00698132,-0.607375,-0.223402,327,359,5.11758,-0.994985,0
12997556,0,0,0,0,0,0,-0.00349066,-0.628319,-0.20944,-0.00349066,-0.628319,-0.20944,327,368,4.75358,-0.854336,0
13261760,0,0,0,0,0,0,-0.00698132,-0.638791,-0.195477,-0.00698132,-0.638791,-0.195477,326,369,4.64698,-0.774671,0
13791315,0,0,0,0,0,0,-0.00698132,-0.638791,-0.18675,-0.00698132,-0.638791,-0.18675,320,370,4.61874,-0.817359,0
14334152,0,0,0,0,0,0,-0.00698132,-0.645772,-0.179769,-0.00698132,-0.645772,-0.179769,311,350,4.89962,-0.975641,0
14595301,0,0,0,0,0,0,-0.00349066,-0.66148,-0.178024,-0.00349066,-0.66148,-0.178024,309,351,4.7246,-0.969546,0
14871035,0,0,0,0,0,0,-0,-0.752237,-0.146608,0,-0.752237,-0.146608,307,348,3.9855,-0.733313,0
15136177,0,0,0,0,0,0,-0,-0.760964,-0.141372,0,-0.760964,-0.141372,306,349,3.89796,-0.712373,0
15402862,0,0,0,0,0,0,-0,-0.764454,-0.125664,0,-0.764454,-0.125664,304,346,3.92464,-0.682665,0
15667942,0,0,0,0,0,0,-0,-0.71733,-0.127409,0,-0.71733,-0.127409,305,339,4.45561,-0.753626,0
16186147,0,0,0,0,0,0,-0,-0.729548,-0.123918,0,-0.729548,-0.123918,294,267,5.78128,-1.12008,0
16450160,0,0,0,0,0,0,-0,-0.731293,-0.123918,0,-0.731293,-0.123918,290,270,5.68383,-1.17117,-8.88178e-16
16713925,0,0,0,0,0,0,-0,-0.74002,-0.123918,0,-0.74002,-0.123918,285,284,5.26977,-1.18159,0
16983669,0,0,0,0,0,0,-0,-0.724312,-0.111701,0,-0.724312,-0.111701,288,312,4.87735,-1.00276,0
17247040,0,0,0,0,0,0,-0.00349066,-0.701622,-0.111701,-0.00349066,-0.701622,-0.111701,285,296,5.43377,-1.13745,0
17510188,0,0,0,0,0,0,-0.00349066,-0.685914,-0.106465,-0.00349066,-0.685914,-0.106465,287,287,5.8218,-1.13716,0
17777795,0,0,0,0,0,0,-0.00349066,-0.684169,-0.0994838,-0.00349066,-0.684169,-0.0994838,286,286,5.87159,-1.12023,0
18048011,0,0,0,0,0,0,-0.00349066,-0.682424,-0.101229,-0.00349066,-0.682424,-0.101229,284,288,5.83947,-1.15925,-8.88178e-16
