[0.000486] INIT: Logger started :)
[0.000842] EVENT: Parameters parsed for blob detector
[0.001010] EVENT: Parameters parsed for math config
[0.001122] EVENT: Parameters parsed for color detection
[0.001205] EVENT: Parameters parsed for system config
[0.225334] EVENT: Camera Initialized Successfully
[0.765691] EVENT: Serial port /dev/ttyACM1 opened
[0.766009] EVENT: Starting Flight controller loop
[0.767296] EVENT: IMU serial port /dev/ttyACM0 opened
[0.767607] EVENT: IMU sensor data loop started
[1.823667] EVENT: Tracking loop started
[2.380088] DEBUG: Frame 0 process time: 0.556241s
[2.512843] DEBUG: Frame 1 process time: 0.073656s
[2.677417] DEBUG: Frame 2 process time: 0.074271s
[2.816583] DEBUG: Frame 3 process time: 0.073473s
[2.949044] DEBUG: Frame 4 process time: 0.073937s
[3.110048] DEBUG: Frame 5 process time: 0.074960s
[3.595004] DEBUG: Frame 6 process time: 0.073288s
[3.746933] DEBUG: Frame 7 process time: 0.075012s
[3.878295] DEBUG: Frame 8 process time: 0.083847s
[4.050116] DEBUG: Frame 9 process time: 0.074425s
[4.162325] DEBUG: Frame 10 process time: 0.081424s
[4.357473] DEBUG: Frame 11 process time: 0.074299s
[4.471082] DEBUG: Frame 12 process time: 0.082572s
[4.580064] DEBUG: Frame 13 process time: 0.078620s
[4.702278] DEBUG: Frame 14 process time: 0.090976s
[4.881933] DEBUG: Frame 15 process time: 0.074775s
[4.997828] DEBUG: Frame 16 process time: 0.085171s
[5.158093] DEBUG: Frame 17 process time: 0.074690s
[5.287284] DEBUG: Frame 18 process time: 0.074732s
[5.405307] DEBUG: Frame 19 process time: 0.074204s
[5.521391] DEBUG: Frame 20 process time: 0.074216s
[5.645107] DEBUG: Frame 21 process time: 0.074002s
[5.762149] DEBUG: Frame 22 process time: 0.074811s
[5.885587] DEBUG: Frame 23 process time: 0.073828s
[6.017966] DEBUG: Frame 24 process time: 0.074395s
[6.133594] DEBUG: Frame 25 process time: 0.074422s
[6.249989] DEBUG: Frame 26 process time: 0.074811s
[6.382483] DEBUG: Frame 27 process time: 0.075222s
[6.518329] DEBUG: Frame 28 process time: 0.075201s
[6.641636] DEBUG: Frame 29 process time: 0.074084s
