Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
18862947,0,0,0,0.000765622,-0.0313884,0.156113,0.00698132,0.69115,0.0750492,336,225,86.0412,10.3801,0
19125409,0,0,0,0.000776181,-0.0313872,0.156143,0.00698132,0.692896,0.0715585,335,223,87.0486,10.1278,0
19387554,0,0,0,0.000774548,-0.0313971,0.156158,0.00698132,0.694641,0.0715585,320,211,91.5486,6.04832,0
19651114,0,0,0,0.000791952,-0.031373,0.156167,0.00349066,0.696386,0.0715585,319,206,93.7428,5.74092,0
19922971,0,0,0,0.000807797,-0.0314025,0.156184,0.00349066,0.696386,0.0750492,318,205,94.1089,5.45885,0
20184512,0,0,0,0.000796919,-0.0314007,0.15619,0.00698132,0.696386,0.0750492,315,208,92.9264,4.65151,0
20445858,0,0,0,0.000761477,-0.0313895,0.156233,0.00698132,0.694641,0.0750492,320,205,93.8208,6.04994,0
20719609,0,0,0,0.000754963,-0.0313797,0.156227,0.00698132,0.694641,0.0750492,314,210,91.8331,4.38221,0
21323745,0,0,0,0.000810389,-0.0312856,0.156279,0.00698132,0.724312,0.0680678,315,211,97.0096,2.84815,0
21586668,0,0,0,0.000769986,-0.0312485,0.156271,0.00698132,0.726057,0.0680678,319,208,98.5938,3.98347,0
21848361,0,0,0,0.000755966,-0.031235,0.156274,0.00698132,0.726057,0.0663225,319,206,99.4001,3.98269,0
22121369,0,0,0,0.000740836,-0.031231,0.156262,0.00698132,0.726057,0.0663225,311,208,98.498,1.69067,0
22382914,0,0,0,0.000745377,-0.0311904,0.156276,0.00349066,0.726057,0.0663225,319,207,98.9886,3.95662,0
22645171,0,0,0,0.000737138,-0.0312351,0.156287,0.00349066,0.727802,0.0663225,316,229,90.7595,3.15643,0
22916406,0,0,0,0.000724139,-0.0312613,0.156274,0.00349066,0.729548,0.0645772,322,226,92.2774,4.81425,0
23178463,0,0,0,0.000717256,-0.0312843,0.156277,0.00349066,0.733038,0.0628319,317,229,91.7305,3.42392,0
23446496,0,0,0,0.000772012,-0.0312841,0.156315,0.00349066,0.733038,0.0628319,323,226,92.938,5.09235,0
23714438,0,0,0,0.000784828,-0.0312755,0.156321,0.00349066,0.734784,0.0628319,315,229,92.0281,2.86529,0
23978988,0,0,0,0.000769289,-0.0312618,0.156327,0.00349066,0.734784,0.0628319,317,230,91.6758,3.42342,0
24252449,0,0,0,0.000763207,-0.031259,0.156326,0.00349066,0.734784,0.0628319,318,232,90.939,3.70464,0
24514022,0,0,0,0.000753196,-0.0313083,0.156329,0.00349066,0.736529,0.0610865,323,231,91.6931,5.0884,0
24777196,0,0,0,0.000734693,-0.0313198,0.15633,0.00349066,0.738274,0.0610865,323,231,92.015,5.08816,0
25046070,0,0,0,0.000736294,-0.0313145,0.156327,0.00349066,0.748746,0.0610865,319,234,92.7717,3.96773,0
25314753,0,0,0,0.000754482,-0.0313437,0.156326,0.00349066,0.750492,0.0610865,323,231,94.297,5.08641,0
25578680,0,0,0,0.000773188,-0.0313381,0.156323,0.00349066,0.755728,0.0610865,318,235,93.6822,3.68058,0
25846610,0,0,0,0.000790994,-0.0313437,0.156324,0.00349066,0.755728,0.0610865,318,236,93.2996,3.68259,0
26113262,0,0,0,0.000796633,-0.0313619,0.156314,0.00349066,0.757473,0.0610865,317,240,92.0935,3.41005,0
26377049,0,0,0,0.000808713,-0.0313565,0.156308,0.00349066,0.757473,0.0610865,319,245,90.2484,3.97339,0
26639668,0,0,0,0.000820031,-0.031339,0.156313,0.00349066,0.757473,0.0610865,319,247,89.5106,3.97624,0
26905104,0,0,0,0.000821038,-0.0313295,0.15631,0.00349066,0.759218,0.0593412,318,247,89.8138,3.6994,0
27177285,0,0,0,0.000847664,-0.0313416,0.156327,0.00349066,0.759218,0.0593412,319,248,89.4574,3.97569,0
27442229,0,0,0,0.000847903,-0.0313406,0.156341,0.00349066,0.759218,0.0593412,318,248,89.4459,3.70135,0
27704258,0,0,0,0.000840333,-0.0313432,0.15635,0.00349066,0.759218,0.0593412,318,249,89.0793,3.70329,0
27975066,0,0,0,0.000837847,-0.0313277,0.156359,0.00349066,0.759218,0.0593412,318,249,89.0793,3.70329,0
28237455,0,0,0,0.000846236,-0.0312584,0.156371,0.00349066,0.759218,0.0593412,319,249,89.0908,3.97712,0
28498257,0,0,0,0.000844316,-0.0312911,0.156391,0.00349066,0.759218,0.0593412,319,250,88.7256,3.97853,0
28774793,0,0,0,0.000841382,-0.0312803,0.156382,0.00349066,0.757473,0.0575959,319,249,88.7783,3.97907,0
29035905,0,0,0,0.000841501,-0.0312638,0.156397,0.00349066,0.757473,0.0575959,319,250,88.4142,3.98048,0
29298340,0,0,0,0.000812932,-0.0312608,0.156429,0.00349066,0.757473,0.0575959,319,249,88.7783,3.97907,0
29571585,0,0,0,0.000844365,-0.031259,0.15645,0.00349066,0.757473,0.0575959,319,249,88.7783,3.97907,0
29833195,0,0,0,0.000835558,-0.0312305,0.156464,0.00349066,0.757473,0.0575959,319,248,89.1438,3.97766,0
30106336,0,0,0,0.000859584,-0.031227,0.156466,0.00349066,0.757473,0.0575959,318,248,89.1323,3.70374,0
